id,학교명,학급 수,예측 교원 수
362,대구신월초등학교,21.0,35.423
363,대구신천초등학교,13.0,24.191
364,대구신흥초등학교,6.0,14.363
365,대구아양초등학교,4.0,11.555
366,대구안일초등학교,9.0,18.575
367,대구연경초등학교,10.0,19.979
368,대구영선초등학교,5.0,12.959
369,대구옥산초등학교,12.0,22.787
370,대구옥포초등학교,4.0,11.555
371,대구와룡초등학교,7.0,15.767
372,대구왕선초등학교,11.0,21.383
373,대구용계초등학교,6.0,14.363
374,대구용산초등학교,6.0,14.363
375,대구용전초등학교,6.0,14.363
376,대구용지초등학교,12.0,22.787
377,대구용천초등학교,27.0,43.847
378,대구용호초등학교,7.0,15.767
379,대구욱수초등학교,10.0,19.979
380,대구운암초등학교,9.0,18.575
381,대구월곡초등학교,1.0,7.343
382,대구월배초등학교,8.0,17.171
383,대구월서초등학교,17.0,29.807
384,대구월성초등학교,3.0,10.151
385,대구월암초등학교,21.0,35.423
386,대구월촌초등학교,7.0,15.767
387,대구유가초등학교,27.0,43.847
388,대구유천초등학교,13.0,24.191
389,대구율금초등학교,11.0,21.383
390,대구율원초등학교,14.0,25.595
391,대구율하초등학교,4.0,11.555
392,대구이곡초등학교,6.0,14.363
393,대구이현초등학교,1.0,7.343
394,대구인지초등학교,6.0,14.363
395,대구입석초등학교,4.0,11.555
396,대구장기초등학교,8.0,17.171
397,대구장동초등학교,16.0,28.403
398,대구장산초등학교,8.0,17.171
399,대구장성초등학교,3.0,10.151
400,대구조암초등학교,10.0,19.979
401,대구조야초등학교,0.0,5.939
402,대구종로초등학교,1.0,7.343
403,대구죽곡초등학교,11.0,21.383
404,대구죽전초등학교,5.0,12.959
405,대구중리초등학교,1.0,7.343
406,대구중앙초등학교,14.0,25.595
407,대구지묘초등학교,4.0,11.555
408,대구지봉초등학교,3.0,10.151
409,대구지산초등학교,3.0,10.151
410,대구진월초등학교,5.0,12.959
411,대구진천초등학교,7.0,15.767
412,대구천내초등학교,2.0,8.747
413,대구청림초등학교,5.0,12.959
414,대구초등학교,5.0,12.959
415,대구칠곡초등학교,8.0,17.171
416,대구칠성초등학교,23.0,38.231
417,대구침산초등학교,18.0,31.211
418,대구태암초등학교,8.0,17.171
419,대구태전초등학교,3.0,10.151
420,대구태현초등학교,5.0,12.959
421,대구파동초등학교,4.0,11.555
422,대구파호초등학교,4.0,11.555
423,대구팔공초등학교,5.0,12.959
424,대구팔달초등학교,4.0,11.555
425,대구평리초등학교,15.0,26.999
426,대구포산초등학교,15.0,26.999
427,대구하빈초등학교,1.0,7.343
428,대구학남초등학교,10.0,19.979
429,대구학산초등학교,4.0,11.555
430,대구학정초등학교,9.0,18.575
431,대구한솔초등학교,15.0,26.999
432,대구한실초등학교,10.0,19.979
433,대구함지초등학교,6.0,14.363
434,대구해서초등학교,7.0,15.767
435,대구해안초등학교,1.0,7.343
436,대구현풍초등학교,4.0,11.555
437,대구호산초등학교,5.0,12.959
438,대구화남초등학교,7.0,15.767
439,대구화동초등학교,4.0,11.555
440,대구화원초등학교,6.0,14.363
441,대구황금초등학교,12.0,22.787
442,대구효동초등학교,1.0,7.343
443,대구효명초등학교,6.0,14.363
444,대구효목초등학교,6.0,14.363
445,대구효신초등학교,3.0,10.151
446,동대구초등학교,10.0,19.979
447,북대구초등학교,7.0,15.767
448,서대구초등학교,2.0,8.747
449,영신초등학교,11.0,21.383
450,효성초등학교,8.0,17.171
