id,학교명,학급 수,예측 교원 수
0,강동고등학교,32.0,73.58500000000001
1,강북고등학교,28.0,65.821
2,경덕여자고등학교,25.0,59.998
3,경명여자고등학교,32.0,73.58500000000001
4,경북고등학교,34.0,77.467
5,경북공업고등학교,33.0,75.526
6,경북기계공업고등학교,41.0,91.054
7,경북대학교사범대학부설고등학교,36.0,81.349
8,경북여자고등학교,39.0,87.172
9,경북여자상업고등학교,29.0,67.762
10,경북예술고등학교,53.0,114.346
11,경상고등학교,29.0,67.762
12,경상공업고등학교,46.0,100.759
13,경상여자고등학교,31.0,71.644
14,경신고등학교,35.0,79.408
15,경원고등학교,38.0,85.231
16,경일여자고등학교,26.0,61.939
17,경화여자고등학교,31.0,71.644
18,계성고등학교,36.0,81.349
19,대구보건고등학교,34.0,77.467
20,구암고등학교,37.0,83.29
21,능인고등학교,40.0,89.113
22,다사고등학교,24.0,58.057
23,달구벌고등학교,17.0,44.47
24,달서고등학교,20.0,50.293
25,달성고등학교,28.0,65.821
26,대건고등학교,28.0,65.821
27,대곡고등학교,38.0,85.231
28,대구고등학교,31.0,71.644
29,대구공업고등학교,44.0,96.877
30,대구공업고등학교테크노폴리스캠퍼스,9.0,28.942
31,대구과학고등학교,20.0,50.293
32,대구과학기술고등학교,38.0,85.231
33,대구관광고등학교,23.0,56.116
34,대구국제고등학교,14.0,38.647
35,대구남산고등학교,35.0,79.408
36,대구농업마이스터고등학교,16.0,42.529
37,대구달서공업고등학교,29.0,67.762
38,대구동부고등학교,31.0,71.644
39,대구상원고등학교,37.0,83.29
40,대구서부고등학교,29.0,67.762
41,대구소프트웨어마이스터고등학교,20.0,50.293
42,대구여자고등학교,38.0,85.231
43,대구여자상업고등학교,23.0,56.116
44,대구외국어고등학교,25.0,59.998
45,대구일과학고등학교,10.0,30.883000000000003
46,대구일마이스터고등학교,20.0,50.293
47,대구전자공업고등학교,26.0,61.939
48,대구제일고등학교,26.0,61.939
49,대구제일여자상업고등학교,29.0,67.762
50,대구중앙고등학교,34.0,77.467
51,대구체육고등학교,14.0,38.647
52,대구혜화여자고등학교,37.0,83.29
53,대륜고등학교,34.0,77.467
54,대원고등학교,34.0,77.467
55,대중금속공업고등학교,26.0,61.939
56,대진고등학교,31.0,71.644
57,덕원고등학교,37.0,83.29
58,도원고등학교,29.0,67.762
59,동문고등학교,40.0,89.113
60,매천고등학교,30.0,69.703
61,비슬고등학교,49.0,106.58200000000001
62,상서고등학교,42.0,92.995
63,상인고등학교,37.0,83.29
64,성광고등학교,33.0,75.526
65,성산고등학교,28.0,65.821
66,성서고등학교,30.0,69.703
67,성화여자고등학교,34.0,77.467
68,송현여자고등학교,35.0,79.408
69,수성고등학교,31.0,71.644
70,시지고등학교,46.0,100.759
71,신명고등학교,28.0,65.821
72,심인고등학교,32.0,73.58500000000001
73,영남고등학교,47.0,102.7
74,영남공업고등학교,37.0,83.29
75,영송여자고등학교,34.0,77.467
76,영신고등학교,36.0,81.349
77,영진고등학교,26.0,61.939
78,오성고등학교,28.0,65.821
79,와룡고등학교,25.0,59.998
80,운암고등학교,33.0,75.526
81,원화여자고등학교,34.0,77.467
82,정동고등학교,30.0,69.703
83,정화여자고등학교,37.0,83.29
84,조일고등학교,23.0,56.116
85,청구고등학교,35.0,79.408
86,칠성고등학교,18.0,46.411
87,포산고등학교,25.0,59.998
88,학남고등학교,31.0,71.644
89,함지고등학교,25.0,59.998
90,현풍고등학교,26.0,61.939
91,협성고등학교,25.0,59.998
92,호산고등학교,26.0,61.939
93,화원고등학교,31.0,71.644
94,효성여자고등학교,31.0,71.644
