id,학교명,학급 수,예측 교원 수
0,강동고등학교,30.0,69.703
1,강북고등학교,27.0,63.88
2,경덕여자고등학교,23.0,56.116
3,경명여자고등학교,31.0,71.644
4,경북고등학교,33.0,75.526
5,경북공업고등학교,32.0,73.58500000000001
6,경북기계공업고등학교,39.0,87.172
7,경북대학교사범대학부설고등학교,34.0,77.467
8,경북여자고등학교,37.0,83.29
9,경북여자상업고등학교,28.0,65.821
10,경북예술고등학교,51.0,110.464
11,경상고등학교,27.0,63.88
12,경상공업고등학교,44.0,96.877
13,경상여자고등학교,30.0,69.703
14,경신고등학교,33.0,75.526
15,경원고등학교,36.0,81.349
16,경일여자고등학교,24.0,58.057
17,경화여자고등학교,30.0,69.703
18,계성고등학교,34.0,77.467
19,대구보건고등학교,33.0,75.526
20,구암고등학교,35.0,79.408
21,능인고등학교,38.0,85.231
22,다사고등학교,22.0,54.175
23,달구벌고등학교,16.0,42.529
24,달서고등학교,19.0,48.352
25,달성고등학교,27.0,63.88
26,대건고등학교,27.0,63.88
27,대곡고등학교,36.0,81.349
28,대구고등학교,30.0,69.703
29,대구공업고등학교,42.0,92.995
30,대구공업고등학교테크노폴리스캠퍼스,8.0,27.001
31,대구과학고등학교,19.0,48.352
32,대구과학기술고등학교,36.0,81.349
33,대구관광고등학교,22.0,54.175
34,대구국제고등학교,14.0,38.647
35,대구남산고등학교,33.0,75.526
36,대구농업마이스터고등학교,15.0,40.588
37,대구달서공업고등학교,27.0,63.88
38,대구동부고등학교,29.0,67.762
39,대구상원고등학교,35.0,79.408
40,대구서부고등학교,28.0,65.821
41,대구소프트웨어마이스터고등학교,19.0,48.352
42,대구여자고등학교,36.0,81.349
43,대구여자상업고등학교,21.0,52.234
44,대구외국어고등학교,24.0,58.057
45,대구일과학고등학교,10.0,30.883000000000003
46,대구일마이스터고등학교,19.0,48.352
47,대구전자공업고등학교,25.0,59.998
48,대구제일고등학교,25.0,59.998
49,대구제일여자상업고등학교,27.0,63.88
50,대구중앙고등학교,32.0,73.58500000000001
51,대구체육고등학교,13.0,36.706
52,대구혜화여자고등학교,36.0,81.349
53,대륜고등학교,33.0,75.526
54,대원고등학교,32.0,73.58500000000001
55,대중금속공업고등학교,25.0,59.998
56,대진고등학교,30.0,69.703
57,덕원고등학교,35.0,79.408
58,도원고등학교,27.0,63.88
59,동문고등학교,38.0,85.231
60,매천고등학교,29.0,67.762
61,비슬고등학교,47.0,102.7
62,상서고등학교,40.0,89.113
63,상인고등학교,36.0,81.349
64,성광고등학교,32.0,73.58500000000001
65,성산고등학교,27.0,63.88
66,성서고등학교,29.0,67.762
67,성화여자고등학교,32.0,73.58500000000001
68,송현여자고등학교,33.0,75.526
69,수성고등학교,29.0,67.762
70,시지고등학교,43.0,94.936
71,신명고등학교,27.0,63.88
72,심인고등학교,30.0,69.703
73,영남고등학교,44.0,96.877
74,영남공업고등학교,36.0,81.349
75,영송여자고등학교,33.0,75.526
76,영신고등학교,34.0,77.467
77,영진고등학교,24.0,58.057
78,오성고등학교,27.0,63.88
79,와룡고등학교,24.0,58.057
80,운암고등학교,31.0,71.644
81,원화여자고등학교,32.0,73.58500000000001
82,정동고등학교,28.0,65.821
83,정화여자고등학교,35.0,79.408
84,조일고등학교,22.0,54.175
85,청구고등학교,34.0,77.467
86,칠성고등학교,17.0,44.47
87,포산고등학교,24.0,58.057
88,학남고등학교,30.0,69.703
89,함지고등학교,24.0,58.057
90,현풍고등학교,25.0,59.998
91,협성고등학교,24.0,58.057
92,호산고등학교,25.0,59.998
93,화원고등학교,29.0,67.762
94,효성여자고등학교,30.0,69.703
