id,학교명,학급 수,예측 교원 수
0,강동고등학교,36.0,81.349
1,강북고등학교,37.0,83.29
2,경덕여자고등학교,21.0,52.234
3,경명여자고등학교,29.0,67.762
4,경북고등학교,41.0,91.054
5,경북공업고등학교,35.0,79.408
6,경북기계공업고등학교,38.0,85.231
7,경북대학교사범대학부설고등학교,37.0,83.29
8,경북여자고등학교,37.0,83.29
9,경북여자상업고등학교,24.0,58.057
10,경북예술고등학교,58.0,124.051
11,경상고등학교,31.0,71.644
12,경상공업고등학교,36.0,81.349
13,경상여자고등학교,31.0,71.644
14,경신고등학교,29.0,67.762
15,경원고등학교,41.0,91.054
16,경일여자고등학교,23.0,56.116
17,경화여자고등학교,25.0,59.998
18,계성고등학교,40.0,89.113
19,대구보건고등학교,37.0,83.29
20,구암고등학교,36.0,81.349
21,능인고등학교,40.0,89.113
22,다사고등학교,18.0,46.411
23,달구벌고등학교,5.0,21.178
24,달서고등학교,20.0,50.293
25,달성고등학교,41.0,91.054
26,대건고등학교,32.0,73.58500000000001
27,대곡고등학교,37.0,83.29
28,대구고등학교,31.0,71.644
29,대구공업고등학교,47.0,102.7
30,대구공업고등학교테크노폴리스캠퍼스,8.0,27.001
31,대구과학고등학교,13.0,36.706
32,대구과학기술고등학교,31.0,71.644
33,대구관광고등학교,28.0,65.821
34,대구국제고등학교,15.0,40.588
35,대구남산고등학교,38.0,85.231
36,대구농업마이스터고등학교,16.0,42.529
37,대구달서공업고등학교,23.0,56.116
38,대구동부고등학교,38.0,85.231
39,대구상원고등학교,44.0,96.877
40,대구서부고등학교,27.0,63.88
41,대구소프트웨어마이스터고등학교,10.0,30.883000000000003
42,대구여자고등학교,43.0,94.936
43,대구여자상업고등학교,28.0,65.821
44,대구외국어고등학교,14.0,38.647
45,대구일과학고등학교,8.0,27.001
46,대구일마이스터고등학교,15.0,40.588
47,대구전자공업고등학교,31.0,71.644
48,대구제일고등학교,31.0,71.644
49,대구제일여자상업고등학교,28.0,65.821
50,대구중앙고등학교,33.0,75.526
51,대구체육고등학교,8.0,27.001
52,대구혜화여자고등학교,37.0,83.29
53,대륜고등학교,47.0,102.7
54,대원고등학교,31.0,71.644
55,대중금속공업고등학교,16.0,42.529
56,대진고등학교,33.0,75.526
57,덕원고등학교,48.0,104.641
58,도원고등학교,27.0,63.88
59,동문고등학교,36.0,81.349
60,매천고등학교,32.0,73.58500000000001
61,비슬고등학교,56.0,120.169
62,상서고등학교,46.0,100.759
63,상인고등학교,29.0,67.762
64,성광고등학교,27.0,63.88
65,성산고등학교,28.0,65.821
66,성서고등학교,31.0,71.644
67,성화여자고등학교,37.0,83.29
68,송현여자고등학교,35.0,79.408
69,수성고등학교,29.0,67.762
70,시지고등학교,51.0,110.464
71,신명고등학교,28.0,65.821
72,심인고등학교,24.0,58.057
73,영남고등학교,55.0,118.22800000000001
74,영남공업고등학교,43.0,94.936
75,영송여자고등학교,25.0,59.998
76,영신고등학교,33.0,75.526
77,영진고등학교,26.0,61.939
78,오성고등학교,27.0,63.88
79,와룡고등학교,25.0,59.998
80,운암고등학교,36.0,81.349
81,원화여자고등학교,38.0,85.231
82,정동고등학교,27.0,63.88
83,정화여자고등학교,36.0,81.349
84,조일고등학교,21.0,52.234
85,청구고등학교,35.0,79.408
86,칠성고등학교,18.0,46.411
87,포산고등학교,19.0,48.352
88,학남고등학교,39.0,87.172
89,함지고등학교,30.0,69.703
90,현풍고등학교,20.0,50.293
91,협성고등학교,23.0,56.116
92,호산고등학교,30.0,69.703
93,화원고등학교,34.0,77.467
94,효성여자고등학교,31.0,71.644
