출생년도,예측 교원 수,SSM,학급 수
2023,355.535,9978.0,249.0
2024,335.879,9414.0,235.0
2025,326.051,9156.0,228.0
2026,317.627,8895.0,222.0
2027,304.991,8534.0,213.0
2028,292.355,8173.0,204.0
2029,281.123,7861.0,196.0
2030,274.103,7651.0,191.0
2031,268.487,7490.0,187.0
2032,258.659,7230.0,180.0
2033,254.44699999999997,7099.0,177.0
2034,246.02299999999997,6868.0,171.0
2035,237.599,6607.0,165.0
