출생년도,예측 교원 수,SSM,학급 수
2023,505.763,9978.0,356.0
2024,477.683,9414.0,336.0
2025,465.04699999999997,9156.0,327.0
2026,451.007,8895.0,317.0
2027,432.755,8534.0,304.0
2028,414.503,8173.0,291.0
2029,399.059,7861.0,280.0
2030,389.231,7651.0,273.0
2031,380.807,7490.0,267.0
2032,368.171,7230.0,258.0
2033,361.151,7099.0,253.0
2034,349.919,6868.0,245.0
2035,335.879,6607.0,235.0
