출생년도,예측 교원 수,SSM,학급 수
2023,383.615,9978.0,269.0
2024,362.555,9414.0,254.0
2025,352.727,9156.0,247.0
2026,342.899,8895.0,240.0
2027,328.859,8534.0,230.0
2028,314.819,8173.0,220.0
2029,303.587,7861.0,212.0
2030,295.163,7651.0,206.0
2031,289.547,7490.0,202.0
2032,279.719,7230.0,195.0
2033,274.103,7099.0,191.0
2034,265.67900000000003,6868.0,185.0
2035,255.85099999999997,6607.0,178.0
