출생년도,예측 교원 수,SSM,학급 수
2023,290.951,9978.0,203.0
2024,275.507,9414.0,192.0
2025,267.083,9156.0,186.0
2026,260.063,8895.0,181.0
2027,250.23499999999999,8534.0,174.0
2028,239.003,8173.0,166.0
2029,230.57899999999998,7861.0,160.0
2030,224.963,7651.0,156.0
2031,219.34699999999998,7490.0,152.0
2032,212.32699999999997,7230.0,147.0
2033,208.11499999999998,7099.0,144.0
2034,202.499,6868.0,140.0
2035,194.075,6607.0,134.0
