출생년도,예측 교원 수,SSM,학급 수
2023,347.111,9978.0,243.0
2024,327.455,9414.0,229.0
2025,319.031,9156.0,223.0
2026,309.20300000000003,8895.0,216.0
2027,297.971,8534.0,208.0
2028,285.335,8173.0,199.0
2029,274.103,7861.0,191.0
2030,267.083,7651.0,186.0
2031,261.467,7490.0,182.0
2032,253.04299999999998,7230.0,176.0
2033,248.831,7099.0,173.0
2034,240.40699999999998,6868.0,167.0
2035,231.98299999999998,6607.0,161.0
