출생년도,예측 교원 수,SSM,학급 수
2023,394.847,9978.0,277.0
2024,372.383,9414.0,261.0
2025,362.555,9156.0,254.0
2026,352.727,8895.0,247.0
2027,338.687,8534.0,237.0
2028,324.647,8173.0,227.0
2029,312.011,7861.0,218.0
2030,303.587,7651.0,212.0
2031,297.971,7490.0,208.0
2032,286.739,7230.0,200.0
2033,282.527,7099.0,197.0
2034,272.699,6868.0,190.0
2035,262.871,6607.0,183.0
