출생년도,예측 교원 수,SSM,학급 수
2023,303.587,9978.0,212.0
2024,286.739,9414.0,200.0
2025,278.315,9156.0,194.0
2026,271.295,8895.0,189.0
2027,260.063,8534.0,181.0
2028,248.831,8173.0,173.0
2029,240.40699999999998,7861.0,167.0
2030,233.38699999999997,7651.0,162.0
2031,229.17499999999998,7490.0,159.0
2032,220.75099999999998,7230.0,153.0
2033,217.94299999999998,7099.0,151.0
2034,210.92299999999997,6868.0,146.0
2035,202.499,6607.0,140.0
