출생년도,예측 교원 수,SSM,학급 수
2023,373.787,9978.0,262.0
2024,352.727,9414.0,247.0
2025,342.899,9156.0,240.0
2026,334.475,8895.0,234.0
2027,320.435,8534.0,224.0
2028,307.799,8173.0,215.0
2029,295.163,7861.0,206.0
2030,288.14300000000003,7651.0,201.0
2031,282.527,7490.0,197.0
2032,272.699,7230.0,190.0
2033,267.083,7099.0,186.0
2034,258.659,6868.0,180.0
2035,248.831,6607.0,173.0
