출생년도,예측 교원 수,SSM,학급 수
2023,488.915,9978.0,344.0
2024,460.835,9414.0,324.0
2025,448.199,9156.0,315.0
2026,435.563,8895.0,306.0
2027,418.715,8534.0,294.0
2028,400.463,8173.0,281.0
2029,386.423,7861.0,271.0
2030,375.191,7651.0,263.0
2031,368.171,7490.0,258.0
2032,355.535,7230.0,249.0
2033,348.515,7099.0,244.0
2034,337.283,6868.0,236.0
2035,324.647,6607.0,227.0
