출생년도,예측 교원 수,SSM,학급 수
2023,338.687,9978.0,237.0
2024,320.435,9414.0,224.0
2025,312.011,9156.0,218.0
2026,302.183,8895.0,211.0
2027,290.951,8534.0,203.0
2028,278.315,8173.0,194.0
2029,268.487,7861.0,187.0
2030,261.467,7651.0,182.0
2031,255.85099999999997,7490.0,178.0
2032,247.427,7230.0,172.0
2033,243.21499999999997,7099.0,169.0
2034,234.79099999999997,6868.0,163.0
2035,226.367,6607.0,157.0
