출생년도,예측 교원 수,SSM,학급 수
2023,331.667,9978.0,232.0
2024,312.011,9414.0,218.0
2025,303.587,9156.0,212.0
2026,295.163,8895.0,206.0
2027,283.931,8534.0,198.0
2028,272.699,8173.0,190.0
2029,261.467,7861.0,182.0
2030,254.44699999999997,7651.0,177.0
2031,250.23499999999999,7490.0,174.0
2032,241.81099999999998,7230.0,168.0
2033,237.599,7099.0,165.0
2034,229.17499999999998,6868.0,159.0
2035,220.75099999999998,6607.0,153.0
