출생년도,예측 교원 수,SSM,학급 수
2023,417.311,9978.0,293.0
2024,393.443,9414.0,276.0
2025,383.615,9156.0,269.0
2026,372.383,8895.0,261.0
2027,358.343,8534.0,251.0
2028,342.899,8173.0,240.0
2029,330.263,7861.0,231.0
2030,321.839,7651.0,225.0
2031,314.819,7490.0,220.0
2032,303.587,7230.0,212.0
2033,297.971,7099.0,208.0
2034,289.547,6868.0,202.0
2035,278.315,6607.0,194.0
