출생년도,예측 교원 수,SSM,학급 수
2023,406.079,9978.0,285.0
2024,382.211,9414.0,268.0
2025,372.383,9156.0,261.0
2026,362.555,8895.0,254.0
2027,347.111,8534.0,243.0
2028,333.071,8173.0,233.0
2029,320.435,7861.0,224.0
2030,312.011,7651.0,218.0
2031,306.395,7490.0,214.0
2032,295.163,7230.0,206.0
2033,289.547,7099.0,202.0
2034,281.123,6868.0,196.0
2035,269.891,6607.0,188.0
