출생년도,예측 교원 수,SSM,학급 수
2023,363.959,9978.0,255.0
2024,344.303,9414.0,241.0
2025,334.475,9156.0,234.0
2026,326.051,8895.0,228.0
2027,312.011,8534.0,218.0
2028,299.375,8173.0,209.0
2029,288.14300000000003,7861.0,201.0
2030,281.123,7651.0,196.0
2031,275.507,7490.0,192.0
2032,265.67900000000003,7230.0,185.0
2033,261.467,7099.0,182.0
2034,253.04299999999998,6868.0,176.0
2035,243.21499999999997,6607.0,169.0
