출생년도,예측 교원 수,SSM,학급 수
2023,429.947,9978.0,302.0
2024,406.079,9414.0,285.0
2025,394.847,9156.0,277.0
2026,383.615,8895.0,269.0
2027,368.171,8534.0,258.0
2028,352.727,8173.0,247.0
2029,340.091,7861.0,238.0
2030,330.263,7651.0,231.0
2031,323.243,7490.0,226.0
2032,313.415,7230.0,219.0
2033,307.799,7099.0,215.0
2034,297.971,6868.0,208.0
2035,286.739,6607.0,200.0
