출생년도,예측 교원 수,SSM,학급 수
2023,672.8389999999999,9978.0,475.0
2024,634.9309999999999,9414.0,448.0
2025,618.083,9156.0,436.0
2026,599.8309999999999,8895.0,423.0
2027,575.963,8534.0,406.0
2028,552.0949999999999,8173.0,389.0
2029,531.035,7861.0,374.0
2030,516.995,7651.0,364.0
2031,505.763,7490.0,356.0
2032,488.915,7230.0,344.0
2033,480.491,7099.0,338.0
2034,465.04699999999997,6868.0,327.0
2035,446.795,6607.0,314.0
