출생년도,예측 교원 수,ARIMA,학급 수
2023,348.515,9539.0,244.0
2024,328.859,8978.0,230.0
2025,307.799,8417.0,215.0
2026,288.14300000000003,7856.0,201.0
2027,268.487,7295.0,187.0
2028,247.427,6734.0,172.0
2029,227.771,6173.0,158.0
2030,206.71099999999998,5612.0,143.0
2031,187.05499999999998,5051.0,129.0
2032,167.39899999999997,4490.0,115.0
2033,146.33899999999997,3929.0,100.0
2034,132.29899999999998,3530.0,90.0
2035,114.047,3017.0,77.0
