출생년도,예측 교원 수,ARIMA,학급 수
2023,309.20300000000003,9539.0,216.0
2024,292.355,8978.0,204.0
2025,274.103,8417.0,191.0
2026,255.85099999999997,7856.0,178.0
2027,237.599,7295.0,165.0
2028,220.75099999999998,6734.0,153.0
2029,202.499,6173.0,140.0
2030,184.24699999999999,5612.0,127.0
2031,165.99499999999998,5051.0,114.0
2032,149.147,4490.0,102.0
2033,130.89499999999998,3929.0,89.0
2034,118.25899999999999,3530.0,80.0
2035,101.411,3017.0,68.0
