출생년도,예측 교원 수,ARIMA,학급 수
2023,366.767,9539.0,257.0
2024,345.707,8978.0,242.0
2025,324.647,8417.0,227.0
2026,303.587,7856.0,212.0
2027,282.527,7295.0,197.0
2028,261.467,6734.0,182.0
2029,239.003,6173.0,166.0
2030,217.94299999999998,5612.0,151.0
2031,196.88299999999998,5051.0,136.0
2032,175.82299999999998,4490.0,121.0
2033,154.76299999999998,3929.0,106.0
2034,139.319,3530.0,95.0
2035,119.66299999999998,3017.0,81.0
