출생년도,예측 교원 수,ARIMA,학급 수
2023,519.8029999999999,9539.0,366.0
2024,490.319,8978.0,345.0
2025,459.431,8417.0,323.0
2026,429.947,7856.0,302.0
2027,399.059,7295.0,280.0
2028,369.575,6734.0,259.0
2029,338.687,6173.0,237.0
2030,307.799,5612.0,215.0
2031,278.315,5051.0,194.0
2032,247.427,4490.0,172.0
2033,217.94299999999998,3929.0,151.0
2034,195.47899999999998,3530.0,135.0
2035,168.80299999999997,3017.0,116.0
