출생년도,예측 교원 수,ARIMA,학급 수
2023,674.2429999999999,9539.0,476.0
2024,634.9309999999999,8978.0,448.0
2025,595.6189999999999,8417.0,420.0
2026,556.3069999999999,7856.0,392.0
2027,516.995,7295.0,364.0
2028,477.683,6734.0,336.0
2029,438.371,6173.0,308.0
2030,399.059,5612.0,280.0
2031,359.747,5051.0,252.0
2032,320.435,4490.0,224.0
2033,281.123,3929.0,196.0
2034,253.04299999999998,3530.0,176.0
2035,216.539,3017.0,150.0
