출생년도,예측 교원 수,ARIMA,학급 수
2023,411.695,9539.0,289.0
2024,387.827,8978.0,272.0
2025,363.959,8417.0,255.0
2026,340.091,7856.0,238.0
2027,316.223,7295.0,221.0
2028,292.355,6734.0,204.0
2029,268.487,6173.0,187.0
2030,244.61899999999997,5612.0,170.0
2031,220.75099999999998,5051.0,153.0
2032,196.88299999999998,4490.0,136.0
2033,173.015,3929.0,119.0
2034,154.76299999999998,3530.0,106.0
2035,133.703,3017.0,91.0
