출생년도,예측 교원 수,ARIMA,학급 수
2023,436.967,9539.0,307.0
2024,411.695,8978.0,289.0
2025,386.423,8417.0,271.0
2026,361.151,7856.0,253.0
2027,335.879,7295.0,235.0
2028,310.607,6734.0,217.0
2029,285.335,6173.0,199.0
2030,260.063,5612.0,181.0
2031,233.38699999999997,5051.0,162.0
2032,208.11499999999998,4490.0,144.0
2033,182.843,3929.0,126.0
2034,164.59099999999998,3530.0,113.0
2035,142.12699999999998,3017.0,97.0
