출생년도,예측 교원 수,ARIMA,학급 수
2023,283.931,9539.0,198.0
2024,268.487,8978.0,187.0
2025,251.63899999999998,8417.0,175.0
2026,234.79099999999997,7856.0,163.0
2027,217.94299999999998,7295.0,151.0
2028,202.499,6734.0,140.0
2029,185.65099999999998,6173.0,128.0
2030,168.80299999999997,5612.0,116.0
2031,153.35899999999998,5051.0,105.0
2032,136.511,4490.0,93.0
2033,119.66299999999998,3929.0,81.0
2034,108.43099999999998,3530.0,73.0
2035,92.987,3017.0,62.0
