출생년도,예측 교원 수,ARIMA,학급 수
2023,466.45099999999996,9539.0,328.0
2024,439.775,8978.0,309.0
2025,413.099,8417.0,290.0
2026,385.019,7856.0,270.0
2027,358.343,7295.0,251.0
2028,331.667,6734.0,232.0
2029,303.587,6173.0,212.0
2030,276.911,5612.0,193.0
2031,250.23499999999999,5051.0,174.0
2032,222.15499999999997,4490.0,154.0
2033,195.47899999999998,3929.0,135.0
2034,175.82299999999998,3530.0,121.0
2035,151.95499999999998,3017.0,104.0
