출생년도,예측 교원 수,ARIMA,학급 수
2023,387.827,9539.0,272.0
2024,365.363,8978.0,256.0
2025,342.899,8417.0,240.0
2026,320.435,7856.0,224.0
2027,297.971,7295.0,208.0
2028,275.507,6734.0,192.0
2029,253.04299999999998,6173.0,176.0
2030,230.57899999999998,5612.0,160.0
2031,208.11499999999998,5051.0,144.0
2032,185.65099999999998,4490.0,128.0
2033,163.18699999999998,3929.0,112.0
2034,146.33899999999997,3530.0,100.0
2035,126.68299999999999,3017.0,86.0
