출생년도,예측 교원 수,ARIMA,학급 수
2023,483.299,9539.0,340.0
2024,455.219,8978.0,320.0
2025,427.139,8417.0,300.0
2026,399.059,7856.0,280.0
2027,370.979,7295.0,260.0
2028,342.899,6734.0,240.0
2029,314.819,6173.0,220.0
2030,286.739,5612.0,200.0
2031,258.659,5051.0,180.0
2032,230.57899999999998,4490.0,160.0
2033,202.499,3929.0,140.0
2034,182.843,3530.0,126.0
2035,156.16699999999997,3017.0,107.0
