출생년도,예측 교원 수,ARIMA,학급 수
2023,331.667,9539.0,232.0
2024,312.011,8978.0,218.0
2025,293.759,8417.0,205.0
2026,274.103,7856.0,191.0
2027,254.44699999999997,7295.0,177.0
2028,236.19499999999996,6734.0,164.0
2029,216.539,6173.0,150.0
2030,196.88299999999998,5612.0,136.0
2031,178.63099999999997,5051.0,123.0
2032,158.975,4490.0,109.0
2033,139.319,3929.0,95.0
2034,126.68299999999999,3530.0,86.0
2035,108.43099999999998,3017.0,73.0
