출생년도,예측 교원 수,ARIMA,학급 수
2023,501.551,9539.0,353.0
2024,472.067,8978.0,332.0
2025,442.58299999999997,8417.0,311.0
2026,413.099,7856.0,290.0
2027,385.019,7295.0,270.0
2028,355.535,6734.0,249.0
2029,326.051,6173.0,228.0
2030,296.567,5612.0,207.0
2031,268.487,5051.0,187.0
2032,239.003,4490.0,166.0
2033,209.51899999999998,3929.0,145.0
2034,188.45899999999997,3530.0,130.0
2035,161.783,3017.0,111.0
