예측유형,학교유형,학교명,SIG_KOR_NM,SIG_CD,년2023,년2024,년2025,년2026,년2027,년2028,년2029,년2030,년2031,년2032,년2033,년2034,년2035,년2036,년2037,년2038,년2039,년2040,년2041,년2042
무이동,초등학교,대구범어초등학교,수성구,27260,686.8901021,675.8653676,627.6607129,589.0635083,541.2036679,489.0725629,444.7109543,408.4929956,382.1168944,367.145197,365.3027426,370.0837961,382.1257943,402.4492235,425.3047389,446.4453895,465.225225,481.1926116,494.0186668,502.1799615
무이동,초등학교,대구서재초등학교,달성군,27710,718.4145102,675.9380055,630.7105222,590.9126885,541.1609472,489.1031939,444.4215793,407.9203947,382.0742323,366.6402677,363.3238578,367.9134607,380.6546332,401.3264728,424.2400795,445.4594874,464.331297,480.3936394,493.3068663,501.5047657
무이동,초등학교,대구죽곡초등학교,달성군,27710,712.9675742,680.6927838,632.7511182,590.8795501,540.73994,489.3063292,445.7855064,409.7168202,384.7074549,371.2565023,370.2060546,376.7737312,390.7687219,411.9078767,434.9316444,456.1148294,474.8169035,490.5971422,503.1469576,510.7139245
무이동,초등학교,계성초등학교,중구,27110,733.857665,691.5618716,644.3612298,600.2686908,547.8098368,495.5522703,451.7077975,415.3531311,390.0623524,376.6508961,375.3969884,382.5377086,397.7546891,419.7098928,443.1473517,464.6865647,483.6780117,499.6711607,512.3536898,519.9999936
무이동,초등학교,대구범일초등학교,수성구,27260,757.251451,692.1684116,646.1105946,606.5544056,556.3739624,502.261399,456.3985665,418.6268489,391.3584315,375.1821115,371.4554369,375.3167678,387.678296,408.6267441,432.1075822,453.8947756,473.3191762,489.8980357,503.2773222,511.9860857
무이동,초등학교,영신초등학교,동구,27140,731.9598024,696.9414942,647.2507448,604.1986421,553.1726862,500.5618824,455.9702166,419.1369086,393.4859802,379.4350186,378.4346044,385.313741,399.5789,421.1398103,444.6975393,466.3749919,485.5160654,501.6682493,514.5168384,522.3130794
무이동,초등학교,대구황금초등학교,수성구,27260,654.8685132,703.5121695,655.7591208,611.8618975,558.9806757,505.4637914,460.5317933,423.2091937,397.1535153,383.0918935,381.3631701,387.9668573,402.8752486,425.0029411,448.8496554,470.8028352,490.1988207,506.5736167,519.6024357,527.5603203
무이동,초등학교,대구고산초등학교,수성구,27260,733.7252981,705.2673098,656.8840036,615.3788841,564.0840955,509.8005549,463.6696889,425.6698911,398.7029926,383.1866906,380.5535272,385.7061903,399.0004228,420.5164082,444.4021977,466.4895372,486.1035137,502.7677808,516.1386482,524.5760127
무이동,초등학교,대구옥산초등학교,북구,27230,728.7840954,705.4307027,656.6870765,613.190775,560.9037117,507.457817,462.2657324,424.629455,398.7719856,384.6233143,382.9856946,389.5454713,404.08227,426.0149798,449.8927832,471.879069,491.3082036,507.7177419,520.784222,528.696207
무이동,초등학교,대구용지초등학교,수성구,27260,786.9525272,708.8101157,661.8416605,619.9600409,567.8006366,513.0612254,466.1066997,427.5853527,400.4905435,383.8855157,379.9038542,384.5351773,397.8189753,419.4282625,443.4606907,465.7379044,485.5730082,502.4744158,516.0834722,524.7986942
무이동,초등학교,대구달서초등학교,서구,27170,776.482768,728.5855355,679.6737963,636.5621797,582.8591807,526.68995,478.9989088,439.7465604,411.8676834,395.8720745,392.8274873,398.0379711,412.0337473,434.4426747,459.1469619,481.9943215,502.2860076,519.5279436,533.3610905,542.0941153
무이동,초등학교,대구강북초등학교,북구,27230,835.451606,747.8756404,697.6242521,656.9623931,604.2571501,545.4560329,495.1638097,453.6427891,423.8946925,405.6125512,400.9356073,403.9797403,415.9855233,438.0271056,463.3695462,486.9520733,508.04601,526.1235686,540.7920351,550.4344643
무이동,초등학교,대구반야월초등학교,동구,27140,786.4030474,748.3248492,697.4691425,653.3165354,598.4195895,540.9726296,492.2733343,451.9105926,423.611306,407.823891,405.2293798,410.8192161,425.216705,448.2059461,473.5611442,496.9816703,517.7541117,535.3785989,549.4940229,558.2565394
무이동,초등학교,대구유천초등학교,달서구,27290,849.8847814,777.940736,724.7412309,677.580209,620.0921919,560.6236542,510.0360071,468.537921,439.1881926,422.3818067,419.7429089,426.1804352,441.6435772,465.6867909,492.039472,516.3703632,537.9366145,556.2170321,570.8381057,579.9723451
무이동,초등학교,대구신천초등학교,동구,27140,800.6145907,813.7216675,759.0807793,710.4136384,650.338418,587.7082854,534.5991953,490.7327664,459.8121283,441.9669875,438.5563025,444.6138064,460.4414138,485.4964712,513.0828582,538.5874594,561.2311273,580.4610025,595.8796192,605.5957322
무이동,초등학교,대구강림초등학교,달성군,27710,851.8049478,817.5501622,760.2369976,708.4861796,646.3946774,585.4410975,534.4340196,491.9291151,462.7517306,449.2959631,449.8667413,459.1786314,477.635683,503.8458289,531.5261305,556.8531237,579.0709548,597.6787634,612.3266499,620.6474685
무이동,초등학교,대구송정초등학교,동구,27140,852.4574873,818.777177,761.7255681,712.4717849,652.7039792,590.5085117,537.2239339,493.3347198,462.946375,445.4174855,442.8930144,449.7786433,465.7259226,490.782408,518.4757603,544.036473,566.6837623,585.8748326,601.2219701,610.6696707
무이동,초등학교,대구율원초등학교,동구,27140,919.6884748,837.429743,779.4192382,729.4594505,668.6424153,604.491471,549.7687549,504.7272006,473.0419017,454.4371224,451.3672656,457.9038406,473.8519985,499.360406,527.6996,553.8964209,577.149658,596.8937933,612.7250983,622.689308
무이동,초등학교,대구중앙초등학교,수성구,27260,897.4407593,849.3353911,792.2841797,743.9813886,682.0223421,616.285094,560.2368592,514.2209973,481.3303431,462.7749871,459.1872996,464.3790588,479.8639318,505.7622641,534.562544,561.2256199,584.9341519,605.115995,621.3439313,631.5729415
무이동,초등학교,대구동평초등학교,북구,27230,922.7459237,851.4853312,796.0589793,748.1146115,686.9195285,620.1061448,562.8628406,515.3144567,482.0592252,460.7412861,454.3379145,458.0293728,472.3791009,497.6782344,526.5562301,553.4407454,577.4990248,598.1187617,614.8512618,625.8652807
무이동,초등학교,대구성당초등학교,달서구,27290,981.8318409,857.7642125,799.9689296,753.4040048,692.3177604,625.7592452,567.8289998,520.511755,487.1794004,466.8764576,461.8960712,465.7379903,479.7709104,505.1949973,534.2446736,561.2415313,585.3473348,605.9739918,622.6714732,633.3236835
무이동,초등학교,대구다사초등학교,달성군,27710,849.4998161,864.6796421,802.0369224,751.989264,690.6849324,624.9533363,569.2741855,522.7647247,490.5248385,473.5131791,472.5277323,479.7150455,495.7837164,521.9250196,551.1244347,578.0285225,601.8245064,621.9567041,638.0305142,647.7263359
무이동,초등학교,대구동성초등학교,수성구,27260,934.3305834,882.151117,824.9701324,776.1693116,712.5626803,643.0154351,583.2080994,534.4039776,499.0830888,476.6347417,469.9755864,473.3257724,487.9434745,514.2399179,544.1856375,572.0882349,597.0794347,618.5256562,635.9490028,647.5583767
무이동,초등학교,대구봉무초등학교,동구,27140,1018.682666,898.765726,838.1705745,787.7192949,722.9266442,653.1776376,593.4249725,544.3589537,509.4131028,488.960595,484.5752795,489.5635661,505.3024374,532.3748781,562.833931,591.0785093,616.2393978,637.7032181,655.011877,666.0421423
무이동,초등학교,대구포산초등학교,달성군,27710,894.8217222,901.6551969,840.4235717,783.5574807,714.3210364,646.4222014,589.3703161,542.4891974,509.4504048,493.2186336,492.4433179,501.8301568,522.0068198,550.9929256,581.5776584,609.6382896,634.329962,655.0832185,671.4902047,681.1531104
무이동,초등학교,대구평리초등학교,서구,27170,964.7879812,907.3719848,845.2384508,790.9813001,724.7687449,655.2357918,596.2449672,547.144512,513.1194696,493.4875505,490.1045948,497.1644993,514.6429843,542.3712925,573.0906961,601.4737984,626.6556971,648.0241378,665.1455211,675.8251163
무이동,초등학교,대구사수초등학교,북구,27230,906.2516475,912.8711076,848.2849594,788.9727249,719.6845706,651.8380397,595.2260055,547.8465082,515.6183688,500.2463091,500.8943828,512.0213479,533.0684223,562.3364984,593.2216158,621.4674277,646.2324439,666.9518267,683.243868,692.5465859
무이동,초등학교,대구달산초등학교,북구,27230,980.3741436,918.8393676,856.8487219,802.6406314,735.3433533,664.2576088,603.8879827,554.4002063,518.842695,498.0038218,493.9210033,500.2963905,517.6532953,545.7709214,576.9215546,605.7586683,631.3985437,653.2114303,670.7403315,681.9713916
무이동,초등학교,대구한솔초등학교,달서구,27290,998.1946469,919.6619886,857.2262027,804.5306032,737.78283,666.8299424,606.5820384,556.5891163,521.4431774,501.8290219,498.3473916,504.3759161,521.2726115,549.2565378,580.4171732,609.2373622,634.8376215,656.6016326,674.0778384,684.9807995
무이동,초등학교,대구관문초등학교,북구,27230,998.0783067,952.2330935,886.6144326,828.2569083,757.4436391,685.3412914,624.2076004,573.5496007,538.5548947,519.6427981,517.5377814,526.2804767,545.8960077,575.5780159,607.81902,637.5026342,663.7290843,685.8784625,703.5109368,714.144788
무이동,초등학교,대구복현초등학교,북구,27230,969.5010814,960.6638826,894.5308131,835.9478819,764.5576279,691.3008131,630.1818072,579.1623145,543.2848082,524.9182013,523.4002564,532.161387,552.0566254,582.1503164,614.7034819,644.652607,671.0968673,693.4119943,711.1589113,721.9165609
무이동,초등학교,대구장동초등학교,달서구,27290,907.8366393,984.2411339,912.6640799,848.653334,774.2450557,702.1705623,641.4948027,590.7576263,557.01522,541.7688451,543.8725011,556.7968381,579.7317787,611.2965253,644.5378553,674.8605588,701.3634772,723.4619392,740.7602772,750.2015289
무이동,초등학교,대구강동초등학교,동구,27140,1064.053482,987.7555149,922.1775804,866.9584136,795.5197609,718.4532214,652.3604352,598.3157292,559.4578974,536.1912052,530.5589862,535.4901321,552.5856919,582.3196268,615.8216069,646.9330958,674.6930551,698.4169396,717.5898691,729.9919058
무이동,초등학교,대구월서초등학교,달서구,27290,1102.02503,1019.317162,952.2071299,897.721293,826.1858425,744.8876803,675.3883569,618.5159058,576.5815579,549.6206276,541.6155234,544.4185737,559.9424195,589.7435854,624.3281409,656.6243988,685.6273162,710.5914935,730.956955,744.8616507
무이동,초등학교,대구서동초등학교,달성군,27710,888.4280863,1031.74781,956.833201,885.6234155,804.8742704,730.8819214,669.1102562,616.9999714,583.5256239,570.3515672,574.5069959,590.8169386,617.6476085,651.8204749,686.6737793,718.2772639,745.703346,768.3677914,785.8908775,794.7770627
무이동,초등학교,대구새론초등학교,동구,27140,1126.938892,1094.637055,1021.604334,954.8088139,872.5000385,789.029079,718.3913197,659.8024838,619.1867891,596.9614242,593.3642975,602.572841,625.1040788,659.3692068,696.4928815,730.7193722,761.0085628,786.6357222,807.080785,819.5597389
