id,학교명,학급 수,예측 교원 수
219,경북대학교사범대학부설초등학교,21.0,35.423
220,계성초등학교,29.0,46.654999999999994
221,남대구초등학교,7.0,15.767
222,대구가창초등학교,6.0,14.363
223,대구감삼초등학교,9.0,18.575
224,대구감천초등학교,11.0,21.383
225,대구강동초등학교,41.0,63.50299999999999
226,대구강림초등학교,34.0,53.675
227,대구강북초등학교,31.0,49.463
228,대구경동초등학교,75.0,111.239
229,대구경운초등학교,19.0,32.614999999999995
230,대구경진초등학교,3.0,10.151
231,대구고산초등학교,29.0,46.654999999999994
232,대구공산초등학교,3.0,10.151
233,대구관남초등학교,13.0,24.191
234,대구관문초등학교,40.0,62.099
235,대구관음초등학교,9.0,18.575
236,대구관천초등학교,7.0,15.767
237,대구교동초등학교,8.0,17.171
238,대구교육대학교대구부설초등학교,16.0,28.403
239,대구구암초등학교,13.0,24.191
240,대구구지초등학교,19.0,32.614999999999995
241,대구국우초등학교,12.0,22.787
242,대구금계초등학교,5.0,12.959
243,대구금포초등학교,4.0,11.555
244,대구남덕초등학교,9.0,18.575
245,대구남도초등학교,20.0,34.019
246,대구남동초등학교,7.0,15.767
247,대구남명초등학교,7.0,15.767
248,대구남부초등학교,13.0,24.191
249,대구남산초등학교,49.0,74.73499999999999
250,대구남송초등학교,11.0,21.383
251,대구내당초등학교,15.0,26.999
252,대구내서초등학교,8.0,17.171
253,대구노변초등학교,28.0,45.251
254,대구노전초등학교,16.0,28.403
255,대구논공초등학교,7.0,15.767
256,대구다사초등학교,36.0,56.483
257,대구달산초등학교,38.0,59.291
258,대구달서초등학교,30.0,48.059
259,대구달성초등학교,13.0,24.191
260,대구대곡초등학교,17.0,29.807
261,대구대남초등학교,15.0,26.999
262,대구대덕초등학교,8.0,17.171
263,대구대명초등학교,22.0,36.827
264,대구대봉초등학교,19.0,32.614999999999995
265,대구대산초등학교,5.0,12.959
266,대구대서초등학교,21.0,35.423
267,대구대성초등학교,6.0,14.363
268,대구대실초등학교,50.0,76.13899999999998
269,대구대진초등학교,17.0,29.807
270,대구대천초등학교,14.0,25.595
271,대구대청초등학교,51.0,77.543
272,대구덕성초등학교,8.0,17.171
273,대구덕인초등학교,14.0,25.595
274,대구도남초등학교,22.0,36.827
275,대구도림초등학교,14.0,25.595
276,대구도원초등학교,15.0,26.999
277,대구동곡초등학교,2.0,8.747
278,대구동덕초등학교,10.0,19.979
279,대구동도초등학교,56.0,84.56299999999999
280,대구동문초등학교,7.0,15.767
281,대구동변초등학교,27.0,43.847
282,대구동부초등학교,8.0,17.171
283,대구동산초등학교,14.0,25.595
284,대구동성초등학교,37.0,57.88699999999999
285,대구동신초등학교,27.0,43.847
286,대구동원초등학교,18.0,31.211
287,대구동인초등학교,10.0,19.979
288,대구동일초등학교,23.0,38.231
289,대구동천초등학교,68.0,101.411
290,대구동촌초등학교,19.0,32.614999999999995
291,대구동평초등학교,36.0,56.483
292,대구동호초등학교,18.0,31.211
293,대구두류초등학교,5.0,12.959
294,대구두산초등학교,12.0,22.787
295,대구들안길초등학교,18.0,31.211
296,대구만촌초등학교,13.0,24.191
297,대구매곡초등학교,21.0,35.423
298,대구매동초등학교,13.0,24.191
299,대구매천초등학교,14.0,25.595
300,대구매호초등학교,23.0,38.231
301,대구명곡초등학교,8.0,17.171
302,대구명덕초등학교,13.0,24.191
303,대구문성초등학교,19.0,32.614999999999995
304,대구반송초등학교,2.0,8.747
305,대구반야월초등학교,31.0,49.463
306,대구방촌초등학교,13.0,24.191
307,대구범물초등학교,6.0,14.363
308,대구범어초등학교,28.0,45.251
309,대구범일초등학교,29.0,46.654999999999994
310,대구복명초등학교,10.0,19.979
311,대구복현초등학교,40.0,62.099
312,대구본리초등학교,46.0,70.523
313,대구봉덕초등학교,28.0,45.251
314,대구봉무초등학교,38.0,59.291
315,대구북동초등학교,10.0,19.979
316,대구북부초등학교,10.0,19.979
317,대구북비산초등학교,6.0,14.363
318,대구불로초등학교,12.0,22.787
319,대구비봉초등학교,3.0,10.151
320,대구비산초등학교,12.0,22.787
321,대구비슬초등학교,54.0,81.755
322,대구사수초등학교,38.0,59.291
323,대구사월초등학교,47.0,71.92699999999999
324,대구산격초등학교,14.0,25.595
325,대구삼덕초등학교,17.0,29.807
326,대구삼영초등학교,24.0,39.635
327,대구삼육초등학교,8.0,17.171
328,대구상원초등학교,12.0,22.787
