id,학교명,학급 수,예측 교원 수
0,강동고등학교,33.0,75.526
1,강북고등학교,38.0,85.231
2,경덕여자고등학교,22.0,54.175
3,경명여자고등학교,30.0,69.703
4,경북고등학교,42.0,92.995
5,경북공업고등학교,35.0,79.408
6,경북기계공업고등학교,41.0,91.054
7,경북대학교사범대학부설고등학교,37.0,83.29
8,경북여자고등학교,37.0,83.29
9,경북여자상업고등학교,25.0,59.998
10,경북예술고등학교,61.0,129.87400000000002
11,경상고등학교,31.0,71.644
12,경상공업고등학교,43.0,94.936
13,경상여자고등학교,31.0,71.644
14,경신고등학교,29.0,67.762
15,경원고등학교,42.0,92.995
16,경일여자고등학교,23.0,56.116
17,경화여자고등학교,25.0,59.998
18,계성고등학교,39.0,87.172
19,대구보건고등학교,39.0,87.172
20,구암고등학교,35.0,79.408
21,능인고등학교,42.0,92.995
22,다사고등학교,18.0,46.411
23,달구벌고등학교,5.0,21.178
24,달서고등학교,20.0,50.293
25,달성고등학교,41.0,91.054
26,대건고등학교,33.0,75.526
27,대곡고등학교,36.0,81.349
28,대구고등학교,31.0,71.644
29,대구공업고등학교,47.0,102.7
30,대구공업고등학교테크노폴리스캠퍼스,6.0,23.119
31,대구과학고등학교,13.0,36.706
32,대구과학기술고등학교,31.0,71.644
33,대구관광고등학교,30.0,69.703
34,대구국제고등학교,11.0,32.824
35,대구남산고등학교,39.0,87.172
36,대구농업마이스터고등학교,16.0,42.529
37,대구달서공업고등학교,25.0,59.998
38,대구동부고등학교,37.0,83.29
39,대구상원고등학교,43.0,94.936
40,대구서부고등학교,27.0,63.88
41,대구소프트웨어마이스터고등학교,9.0,28.942
42,대구여자고등학교,44.0,96.877
43,대구여자상업고등학교,29.0,67.762
44,대구외국어고등학교,16.0,42.529
45,대구일과학고등학교,8.0,27.001
46,대구일마이스터고등학교,16.0,42.529
47,대구전자공업고등학교,31.0,71.644
48,대구제일고등학교,31.0,71.644
49,대구제일여자상업고등학교,28.0,65.821
50,대구중앙고등학교,35.0,79.408
51,대구체육고등학교,8.0,27.001
52,대구혜화여자고등학교,38.0,85.231
53,대륜고등학교,48.0,104.641
54,대원고등학교,31.0,71.644
55,대중금속공업고등학교,15.0,40.588
56,대진고등학교,32.0,73.58500000000001
57,덕원고등학교,48.0,104.641
58,도원고등학교,27.0,63.88
59,동문고등학교,36.0,81.349
60,매천고등학교,32.0,73.58500000000001
61,비슬고등학교,52.0,112.405
62,상서고등학교,47.0,102.7
63,상인고등학교,29.0,67.762
64,성광고등학교,28.0,65.821
65,성산고등학교,28.0,65.821
66,성서고등학교,32.0,73.58500000000001
67,성화여자고등학교,37.0,83.29
68,송현여자고등학교,36.0,81.349
69,수성고등학교,29.0,67.762
70,시지고등학교,50.0,108.523
71,신명고등학교,29.0,67.762
72,심인고등학교,22.0,54.175
73,영남고등학교,55.0,118.22800000000001
74,영남공업고등학교,44.0,96.877
75,영송여자고등학교,25.0,59.998
76,영신고등학교,33.0,75.526
77,영진고등학교,26.0,61.939
78,오성고등학교,26.0,61.939
79,와룡고등학교,25.0,59.998
80,운암고등학교,36.0,81.349
81,원화여자고등학교,39.0,87.172
82,정동고등학교,25.0,59.998
83,정화여자고등학교,36.0,81.349
84,조일고등학교,21.0,52.234
85,청구고등학교,35.0,79.408
86,칠성고등학교,18.0,46.411
87,포산고등학교,17.0,44.47
88,학남고등학교,38.0,85.231
89,함지고등학교,29.0,67.762
90,현풍고등학교,20.0,50.293
91,협성고등학교,23.0,56.116
92,호산고등학교,29.0,67.762
93,화원고등학교,34.0,77.467
94,효성여자고등학교,32.0,73.58500000000001
