id,학교명,학급 수,예측 교원 수
95,달서중학교,2.0,11.141
96,대구체육중학교,3.0,12.861
97,한울안중학교,4.0,14.581
98,구남중학교,5.0,16.301
99,가창중학교,6.0,18.021
100,신당중학교,6.0,18.021
101,경상여자중학교,7.0,19.741
102,논공중학교,7.0,19.741
103,서남중학교,8.0,21.461
104,대평중학교,8.0,21.461
105,경일중학교,8.0,21.461
106,경혜여자중학교,9.0,23.181
107,범일중학교,9.0,23.181
108,상인중학교,9.0,23.181
109,팔달중학교,9.0,23.181
110,수성중학교,9.0,23.181
111,입석중학교,10.0,24.901
112,현풍중학교,10.0,24.901
113,송현여자중학교,10.0,24.901
114,경암중학교,11.0,26.621
115,공산중학교,11.0,26.621
116,대구제일중학교,11.0,26.621
117,북동중학교,12.0,28.341
118,산격중학교,12.0,28.341
119,이곡중학교,12.0,28.341
120,신아중학교,13.0,30.061
121,대구북중학교,13.0,30.061
122,서대구중학교,13.0,30.061
123,천내중학교,13.0,30.061
124,경구중학교,13.0,30.061
125,성곡중학교,14.0,31.781
126,화원중학교,14.0,31.781
127,대명중학교,14.0,31.781
128,서변중학교,14.0,31.781
129,동촌중학교,14.0,31.781
130,관음중학교,16.0,35.221
131,대구중학교,16.0,35.221
132,불로중학교,17.0,36.940999999999995
133,대구중앙중학교,17.0,36.940999999999995
134,덕화중학교,17.0,36.940999999999995
135,새본리중학교,18.0,38.661
136,칠곡중학교,18.0,38.661
137,동변중학교,18.0,38.661
138,상서중학교,18.0,38.661
139,복현중학교,18.0,38.661
140,와룡중학교,18.0,38.661
141,지산중학교,19.0,40.381
142,대구팔공중학교,19.0,40.381
143,경운중학교,20.0,42.101
144,신기중학교,20.0,42.101
145,월배중학교,20.0,42.101
146,관천중학교,20.0,42.101
147,경상중학교,21.0,43.821
148,평리중학교,21.0,43.821
149,안심중학교,21.0,43.821
150,대서중학교,21.0,43.821
151,노변중학교,21.0,43.821
152,계성중학교,21.0,43.821
153,성명여자중학교,22.0,45.541
154,성산중학교,22.0,45.541
155,사수중학교,22.0,45.541
156,학산중학교,23.0,47.261
157,동원중학교,23.0,47.261
158,매호중학교,23.0,47.261
159,성당중학교,24.0,48.981
160,운암중학교,24.0,48.981
161,심인중학교,25.0,50.701
162,용산중학교,25.0,50.701
163,경서중학교,25.0,50.701
164,원화중학교,25.0,50.701
165,서재중학교,25.0,50.701
166,경일여자중학교,26.0,52.421
167,중리중학교,26.0,52.421
168,경북대학교사범대학부설중학교,27.0,54.141
169,다사중학교,27.0,54.141
170,협성경복중학교,27.0,54.141
171,구지중학교,27.0,54.141
172,청구중학교,28.0,55.861
173,범물중학교,28.0,55.861
174,달성중학교,29.0,57.581
175,대곡중학교,30.0,59.301
176,경명여자중학교,30.0,59.301
177,능인중학교,31.0,61.021
178,도원중학교,31.0,61.021
179,구암중학교,31.0,61.021
180,효성중학교,32.0,62.741
181,덕원중학교,32.0,62.741
182,영신중학교,32.0,62.741
183,매천중학교,33.0,64.461
184,대구동부중학교,33.0,64.461
185,서동중학교,34.0,66.181
186,성화중학교,34.0,66.181
187,성지중학교,34.0,66.181
188,고산중학교,35.0,67.901
189,율원중학교,35.0,67.901
190,대건중학교,36.0,69.621
191,상원중학교,37.0,71.341
192,성광중학교,37.0,71.341
193,대진중학교,37.0,71.341
194,성서중학교,38.0,73.06099999999999
195,침산중학교,38.0,73.06099999999999
196,학남중학교,38.0,73.06099999999999
197,황금중학교,39.0,74.78099999999999
198,포산중학교,39.0,74.78099999999999
199,영남중학교,40.0,76.50099999999999
200,신명여자중학교,41.0,78.22099999999999
201,유가중학교,41.0,78.22099999999999
202,새론중학교,41.0,78.22099999999999
203,시지중학교,43.0,81.66099999999999
204,대륜중학교,44.0,83.38099999999999
205,강동중학교,45.0,85.101
206,왕선중학교,45.0,85.101
207,오성중학교,47.0,88.541
208,대구일중학교,47.0,88.541
209,동평중학교,48.0,90.261
210,소선여자중학교,48.0,90.261
211,경신중학교,49.0,91.981
212,동도중학교,51.0,95.42099999999999
213,강북중학교,53.0,98.86099999999999
214,정화중학교,57.0,105.74099999999999
215,월서중학교,58.0,107.461
216,조암중학교,58.0,107.461
217,대구동중학교,59.0,109.181
218,월암중학교,38.0,73.06099999999999
