id,학교명,학급 수,예측 교원 수
381,대구월곡초등학교,3.0,10.151
382,대구월배초등학교,12.0,22.787
383,대구월서초등학교,29.0,46.654999999999994
384,대구월성초등학교,5.0,12.959
385,대구월암초등학교,33.0,52.270999999999994
386,대구월촌초등학교,12.0,22.787
387,대구유가초등학교,44.0,67.715
388,대구유천초등학교,22.0,36.827
389,대구율금초등학교,18.0,31.211
390,대구율원초등학교,24.0,39.635
391,대구율하초등학교,7.0,15.767
392,대구이곡초등학교,11.0,21.383
393,대구이현초등학교,2.0,8.747
394,대구인지초등학교,10.0,19.979
395,대구입석초등학교,7.0,15.767
396,대구장기초등학교,14.0,25.595
397,대구장동초등학교,23.0,38.231
398,대구장산초등학교,14.0,25.595
399,대구장성초등학교,5.0,12.959
400,대구조암초등학교,16.0,28.403
401,대구조야초등학교,1.0,7.343
402,대구종로초등학교,2.0,8.747
403,대구죽곡초등학교,18.0,31.211
404,대구죽전초등학교,8.0,17.171
405,대구중리초등학교,2.0,8.747
406,대구중앙초등학교,23.0,38.231
407,대구지묘초등학교,7.0,15.767
408,대구지봉초등학교,6.0,14.363
409,대구지산초등학교,6.0,14.363
410,대구진월초등학교,8.0,17.171
411,대구진천초등학교,12.0,22.787
412,대구천내초등학교,4.0,11.555
413,대구청림초등학교,7.0,15.767
414,대구초등학교,8.0,17.171
415,대구칠곡초등학교,14.0,25.595
416,대구칠성초등학교,37.0,57.88699999999999
417,대구침산초등학교,29.0,46.654999999999994
418,대구태암초등학교,12.0,22.787
419,대구태전초등학교,6.0,14.363
420,대구태현초등학교,9.0,18.575
421,대구파동초등학교,7.0,15.767
422,대구파호초등학교,7.0,15.767
423,대구팔공초등학교,8.0,17.171
424,대구팔달초등학교,7.0,15.767
425,대구평리초등학교,25.0,41.038999999999994
426,대구포산초등학교,23.0,38.231
427,대구하빈초등학교,1.0,7.343
428,대구학남초등학교,17.0,29.807
429,대구학산초등학교,3.0,10.151
430,대구학정초등학교,16.0,28.403
431,대구한솔초등학교,26.0,42.443
432,대구한실초등학교,15.0,26.999
433,대구함지초등학교,10.0,19.979
434,대구해서초등학교,11.0,21.383
435,대구해안초등학교,2.0,8.747
436,대구현풍초등학교,7.0,15.767
437,대구호산초등학교,8.0,17.171
438,대구화남초등학교,12.0,22.787
439,대구화동초등학교,7.0,15.767
440,대구화원초등학교,10.0,19.979
441,대구황금초등학교,17.0,29.807
442,대구효동초등학교,2.0,8.747
443,대구효명초등학교,10.0,19.979
444,대구효목초등학교,10.0,19.979
445,대구효신초등학교,4.0,11.555
446,동대구초등학교,16.0,28.403
447,북대구초등학교,11.0,21.383
448,서대구초등학교,3.0,10.151
449,영신초등학교,19.0,32.614999999999995
450,효성초등학교,13.0,24.191
