id,학교명,학급 수,예측 교원 수
219,경북대학교사범대학부설초등학교,7.0,15.767
220,계성초등학교,9.0,18.575
221,남대구초등학교,2.0,8.747
222,대구가창초등학교,2.0,8.747
223,대구감삼초등학교,3.0,10.151
224,대구감천초등학교,3.0,10.151
225,대구강동초등학교,13.0,24.191
226,대구강림초등학교,11.0,21.383
227,대구강북초등학교,10.0,19.979
228,대구경동초등학교,24.0,39.635
229,대구경운초등학교,6.0,14.363
230,대구경진초등학교,1.0,7.343
231,대구고산초등학교,10.0,19.979
232,대구공산초등학교,1.0,7.343
233,대구관남초등학교,4.0,11.555
234,대구관문초등학교,13.0,24.191
235,대구관음초등학교,3.0,10.151
236,대구관천초등학교,2.0,8.747
237,대구교동초등학교,2.0,8.747
238,대구교육대학교대구부설초등학교,5.0,12.959
239,대구구암초등학교,4.0,11.555
240,대구구지초등학교,6.0,14.363
241,대구국우초등학교,4.0,11.555
242,대구금계초등학교,1.0,7.343
243,대구금포초등학교,1.0,7.343
244,대구남덕초등학교,3.0,10.151
245,대구남도초등학교,6.0,14.363
246,대구남동초등학교,2.0,8.747
247,대구남명초등학교,2.0,8.747
248,대구남부초등학교,4.0,11.555
249,대구남산초등학교,16.0,28.403
250,대구남송초등학교,3.0,10.151
251,대구내당초등학교,5.0,12.959
252,대구내서초등학교,3.0,10.151
253,대구노변초등학교,9.0,18.575
254,대구노전초등학교,5.0,12.959
255,대구논공초등학교,2.0,8.747
256,대구다사초등학교,12.0,22.787
257,대구달산초등학교,12.0,22.787
258,대구달서초등학교,10.0,19.979
259,대구달성초등학교,4.0,11.555
260,대구대곡초등학교,5.0,12.959
261,대구대남초등학교,5.0,12.959
262,대구대덕초등학교,3.0,10.151
263,대구대명초등학교,7.0,15.767
264,대구대봉초등학교,6.0,14.363
265,대구대산초등학교,1.0,7.343
266,대구대서초등학교,7.0,15.767
267,대구대성초등학교,2.0,8.747
268,대구대실초등학교,17.0,29.807
269,대구대진초등학교,5.0,12.959
270,대구대천초등학교,4.0,11.555
271,대구대청초등학교,16.0,28.403
272,대구덕성초등학교,3.0,10.151
273,대구덕인초등학교,4.0,11.555
274,대구도남초등학교,7.0,15.767
275,대구도림초등학교,4.0,11.555
276,대구도원초등학교,4.0,11.555
277,대구동곡초등학교,0.0,5.939
278,대구동덕초등학교,3.0,10.151
279,대구동도초등학교,19.0,32.614999999999995
280,대구동문초등학교,2.0,8.747
281,대구동변초등학교,9.0,18.575
282,대구동부초등학교,2.0,8.747
283,대구동산초등학교,4.0,11.555
284,대구동성초등학교,12.0,22.787
285,대구동신초등학교,9.0,18.575
286,대구동원초등학교,6.0,14.363
287,대구동인초등학교,3.0,10.151
288,대구동일초등학교,7.0,15.767
289,대구동천초등학교,23.0,38.231
290,대구동촌초등학교,6.0,14.363
291,대구동평초등학교,11.0,21.383
292,대구동호초등학교,6.0,14.363
293,대구두류초등학교,2.0,8.747
294,대구두산초등학교,3.0,10.151
295,대구들안길초등학교,6.0,14.363
296,대구만촌초등학교,4.0,11.555
297,대구매곡초등학교,7.0,15.767
298,대구매동초등학교,4.0,11.555
299,대구매천초등학교,4.0,11.555
300,대구매호초등학교,7.0,15.767
301,대구명곡초등학교,2.0,8.747
302,대구명덕초등학교,4.0,11.555
303,대구문성초등학교,6.0,14.363
304,대구반송초등학교,0.0,5.939
305,대구반야월초등학교,10.0,19.979
306,대구방촌초등학교,4.0,11.555
307,대구범물초등학교,2.0,8.747
308,대구범어초등학교,9.0,18.575
309,대구범일초등학교,9.0,18.575
310,대구복명초등학교,3.0,10.151
311,대구복현초등학교,13.0,24.191
312,대구본리초등학교,15.0,26.999
313,대구봉덕초등학교,9.0,18.575
314,대구봉무초등학교,12.0,22.787
315,대구북동초등학교,3.0,10.151
316,대구북부초등학교,3.0,10.151
317,대구북비산초등학교,2.0,8.747
318,대구불로초등학교,4.0,11.555
319,대구비봉초등학교,1.0,7.343
320,대구비산초등학교,4.0,11.555
321,대구비슬초등학교,18.0,31.211
322,대구사수초등학교,13.0,24.191
323,대구사월초등학교,15.0,26.999
324,대구산격초등학교,4.0,11.555
325,대구삼덕초등학교,5.0,12.959
326,대구삼영초등학교,8.0,17.171
327,대구삼육초등학교,2.0,8.747
328,대구상원초등학교,4.0,11.555
329,대구상인초등학교,6.0,14.363
330,대구새론초등학교,15.0,26.999
331,대구서도초등학교,4.0,11.555
332,대구서동초등학교,15.0,26.999
333,대구서변초등학교,5.0,12.959
334,대구서부초등학교,4.0,11.555
335,대구서재초등학교,9.0,18.575
336,대구서촌초등학교,0.0,5.939
337,대구서평초등학교,1.0,7.343
338,대구선원초등학교,4.0,11.555
339,대구성곡초등학교,4.0,11.555
340,대구성남초등학교,4.0,11.555
341,대구성당초등학교,12.0,22.787
342,대구성동초등학교,20.0,34.019
343,대구성명초등학교,3.0,10.151
344,대구성북초등학교,4.0,11.555
345,대구성산초등학교,5.0,12.959
346,대구성서초등학교,4.0,11.555
347,대구성지초등학교,5.0,12.959
348,대구세천초등학교,19.0,32.614999999999995
349,대구세현초등학교,16.0,28.403
350,대구송일초등학교,6.0,14.363
351,대구송정초등학교,11.0,21.383
352,대구송현초등학교,4.0,11.555
353,대구수성초등학교,9.0,18.575
354,대구수창초등학교,4.0,11.555
355,대구숙천초등학교,8.0,17.171
356,대구시지초등학교,3.0,10.151
357,대구신당초등학교,1.0,7.343
358,대구신매초등학교,7.0,15.767
359,대구신서초등학교,2.0,8.747
360,대구신성초등학교,5.0,12.959
361,대구신암초등학교,9.0,18.575
362,대구신월초등학교,17.0,29.807
363,대구신천초등학교,11.0,21.383
364,대구신흥초등학교,5.0,12.959
365,대구아양초등학교,3.0,10.151
