id,학교명,학급 수,예측 교원 수
219,경북대학교사범대학부설초등학교,17.0,29.807
220,계성초등학교,24.0,39.635
221,남대구초등학교,6.0,14.363
222,대구가창초등학교,5.0,12.959
223,대구감삼초등학교,8.0,17.171
224,대구감천초등학교,9.0,18.575
225,대구강동초등학교,35.0,55.079
226,대구강림초등학교,29.0,46.654999999999994
227,대구강북초등학교,26.0,42.443
228,대구경동초등학교,63.0,94.39099999999999
229,대구경운초등학교,16.0,28.403
230,대구경진초등학교,3.0,10.151
231,대구고산초등학교,25.0,41.038999999999994
232,대구공산초등학교,3.0,10.151
233,대구관남초등학교,11.0,21.383
234,대구관문초등학교,34.0,53.675
235,대구관음초등학교,7.0,15.767
236,대구관천초등학교,6.0,14.363
237,대구교동초등학교,6.0,14.363
238,대구교육대학교대구부설초등학교,14.0,25.595
239,대구구암초등학교,11.0,21.383
240,대구구지초등학교,16.0,28.403
241,대구국우초등학교,10.0,19.979
242,대구금계초등학교,4.0,11.555
243,대구금포초등학교,4.0,11.555
244,대구남덕초등학교,8.0,17.171
245,대구남도초등학교,17.0,29.807
246,대구남동초등학교,6.0,14.363
247,대구남명초등학교,6.0,14.363
248,대구남부초등학교,11.0,21.383
249,대구남산초등학교,41.0,63.50299999999999
250,대구남송초등학교,9.0,18.575
251,대구내당초등학교,13.0,24.191
252,대구내서초등학교,7.0,15.767
253,대구노변초등학교,23.0,38.231
254,대구노전초등학교,14.0,25.595
255,대구논공초등학교,6.0,14.363
256,대구다사초등학교,30.0,48.059
257,대구달산초등학교,32.0,50.867
258,대구달서초등학교,26.0,42.443
259,대구달성초등학교,11.0,21.383
260,대구대곡초등학교,15.0,26.999
261,대구대남초등학교,13.0,24.191
262,대구대덕초등학교,7.0,15.767
263,대구대명초등학교,18.0,31.211
264,대구대봉초등학교,16.0,28.403
265,대구대산초등학교,4.0,11.555
266,대구대서초등학교,18.0,31.211
267,대구대성초등학교,5.0,12.959
268,대구대실초등학교,42.0,64.907
269,대구대진초등학교,15.0,26.999
270,대구대천초등학교,12.0,22.787
271,대구대청초등학교,43.0,66.311
272,대구덕성초등학교,7.0,15.767
273,대구덕인초등학교,11.0,21.383
274,대구도남초등학교,19.0,32.614999999999995
275,대구도림초등학교,12.0,22.787
276,대구도원초등학교,12.0,22.787
277,대구동곡초등학교,1.0,7.343
278,대구동덕초등학교,8.0,17.171
279,대구동도초등학교,47.0,71.92699999999999
280,대구동문초등학교,6.0,14.363
281,대구동변초등학교,22.0,36.827
282,대구동부초등학교,6.0,14.363
283,대구동산초등학교,11.0,21.383
284,대구동성초등학교,31.0,49.463
285,대구동신초등학교,23.0,38.231
286,대구동원초등학교,15.0,26.999
287,대구동인초등학교,9.0,18.575
288,대구동일초등학교,19.0,32.614999999999995
289,대구동천초등학교,57.0,85.96699999999998
290,대구동촌초등학교,16.0,28.403
291,대구동평초등학교,30.0,48.059
292,대구동호초등학교,15.0,26.999
293,대구두류초등학교,5.0,12.959
294,대구두산초등학교,10.0,19.979
295,대구들안길초등학교,15.0,26.999
296,대구만촌초등학교,11.0,21.383
297,대구매곡초등학교,17.0,29.807
298,대구매동초등학교,11.0,21.383
299,대구매천초등학교,12.0,22.787
300,대구매호초등학교,19.0,32.614999999999995
301,대구명곡초등학교,7.0,15.767
302,대구명덕초등학교,11.0,21.383
303,대구문성초등학교,16.0,28.403
304,대구반송초등학교,2.0,8.747
305,대구반야월초등학교,26.0,42.443
306,대구방촌초등학교,11.0,21.383
307,대구범물초등학교,5.0,12.959
308,대구범어초등학교,24.0,39.635
309,대구범일초등학교,24.0,39.635
310,대구복명초등학교,8.0,17.171
311,대구복현초등학교,34.0,53.675
312,대구본리초등학교,39.0,60.695
313,대구봉덕초등학교,23.0,38.231
314,대구봉무초등학교,32.0,50.867
315,대구북동초등학교,8.0,17.171
316,대구북부초등학교,8.0,17.171
317,대구북비산초등학교,5.0,12.959
318,대구불로초등학교,10.0,19.979
319,대구비봉초등학교,3.0,10.151
320,대구비산초등학교,10.0,19.979
321,대구비슬초등학교,45.0,69.119
322,대구사수초등학교,32.0,50.867
323,대구사월초등학교,39.0,60.695
324,대구산격초등학교,12.0,22.787
325,대구삼덕초등학교,14.0,25.595
326,대구삼영초등학교,20.0,34.019
327,대구삼육초등학교,7.0,15.767
328,대구상원초등학교,10.0,19.979
329,대구상인초등학교,16.0,28.403
330,대구새론초등학교,39.0,60.695
331,대구서도초등학교,10.0,19.979
332,대구서동초등학교,36.0,56.483
333,대구서변초등학교,14.0,25.595
334,대구서부초등학교,10.0,19.979
335,대구서재초등학교,24.0,39.635
336,대구서촌초등학교,1.0,7.343
337,대구서평초등학교,3.0,10.151
338,대구선원초등학교,10.0,19.979
339,대구성곡초등학교,11.0,21.383
340,대구성남초등학교,11.0,21.383
341,대구성당초등학교,30.0,48.059
342,대구성동초등학교,52.0,78.947
343,대구성명초등학교,9.0,18.575
344,대구성북초등학교,12.0,22.787
345,대구성산초등학교,14.0,25.595
