id,학교명,학급 수,예측 교원 수
95,달서중학교,1.0,9.421
96,대구체육중학교,2.0,11.141
97,한울안중학교,3.0,12.861
98,구남중학교,4.0,14.581
99,가창중학교,4.0,14.581
100,신당중학교,4.0,14.581
101,경상여자중학교,6.0,18.021
102,논공중학교,6.0,18.021
103,서남중학교,6.0,18.021
104,대평중학교,6.0,18.021
105,경일중학교,6.0,18.021
106,경혜여자중학교,6.0,18.021
107,범일중학교,6.0,18.021
108,상인중학교,7.0,19.741
109,팔달중학교,7.0,19.741
110,수성중학교,7.0,19.741
111,입석중학교,8.0,21.461
112,현풍중학교,8.0,21.461
113,송현여자중학교,8.0,21.461
114,경암중학교,9.0,23.181
115,공산중학교,9.0,23.181
116,대구제일중학교,9.0,23.181
117,북동중학교,10.0,24.901
118,산격중학교,10.0,24.901
119,이곡중학교,10.0,24.901
120,신아중학교,10.0,24.901
121,대구북중학교,10.0,24.901
122,서대구중학교,10.0,24.901
123,천내중학교,10.0,24.901
124,경구중학교,10.0,24.901
125,성곡중학교,10.0,24.901
126,화원중학교,11.0,26.621
127,대명중학교,11.0,26.621
128,서변중학교,11.0,26.621
129,동촌중학교,12.0,28.341
130,관음중학교,13.0,30.061
131,대구중학교,13.0,30.061
132,불로중학교,13.0,30.061
133,대구중앙중학교,13.0,30.061
134,덕화중학교,13.0,30.061
135,새본리중학교,14.0,31.781
136,칠곡중학교,14.0,31.781
137,동변중학교,14.0,31.781
138,상서중학교,14.0,31.781
139,복현중학교,15.0,33.501
140,와룡중학교,14.0,31.781
141,지산중학교,15.0,33.501
142,대구팔공중학교,15.0,33.501
143,경운중학교,16.0,35.221
144,신기중학교,16.0,35.221
145,월배중학교,16.0,35.221
146,관천중학교,16.0,35.221
147,경상중학교,16.0,35.221
148,평리중학교,16.0,35.221
149,안심중학교,17.0,36.940999999999995
150,대서중학교,16.0,35.221
151,노변중학교,17.0,36.940999999999995
152,계성중학교,17.0,36.940999999999995
153,성명여자중학교,17.0,36.940999999999995
154,성산중학교,17.0,36.940999999999995
155,사수중학교,17.0,36.940999999999995
156,학산중학교,18.0,38.661
157,동원중학교,18.0,38.661
158,매호중학교,18.0,38.661
159,성당중학교,19.0,40.381
160,운암중학교,18.0,38.661
161,심인중학교,19.0,40.381
162,용산중학교,20.0,42.101
163,경서중학교,20.0,42.101
164,원화중학교,20.0,42.101
165,서재중학교,20.0,42.101
166,경일여자중학교,20.0,42.101
167,중리중학교,21.0,43.821
168,경북대학교사범대학부설중학교,21.0,43.821
169,다사중학교,21.0,43.821
170,협성경복중학교,21.0,43.821
171,구지중학교,22.0,45.541
172,청구중학교,22.0,45.541
173,범물중학교,23.0,47.261
174,달성중학교,23.0,47.261
175,대곡중학교,23.0,47.261
176,경명여자중학교,23.0,47.261
177,능인중학교,23.0,47.261
178,도원중학교,24.0,48.981
179,구암중학교,25.0,50.701
180,효성중학교,25.0,50.701
181,덕원중학교,25.0,50.701
182,영신중학교,25.0,50.701
183,매천중학교,25.0,50.701
184,대구동부중학교,26.0,52.421
185,서동중학교,26.0,52.421
186,성화중학교,26.0,52.421
187,성지중학교,26.0,52.421
188,고산중학교,27.0,54.141
189,율원중학교,27.0,54.141
190,대건중학교,26.0,52.421
191,상원중학교,29.0,57.581
192,성광중학교,29.0,57.581
193,대진중학교,29.0,57.581
194,성서중학교,30.0,59.301
195,침산중학교,30.0,59.301
196,학남중학교,31.0,61.021
197,황금중학교,30.0,59.301
198,포산중학교,31.0,61.021
199,영남중학교,32.0,62.741
200,신명여자중학교,32.0,62.741
201,유가중학교,32.0,62.741
202,새론중학교,33.0,64.461
203,시지중학교,34.0,66.181
204,대륜중학교,34.0,66.181
205,강동중학교,35.0,67.901
206,왕선중학교,36.0,69.621
207,오성중학교,36.0,69.621
208,대구일중학교,36.0,69.621
209,동평중학교,37.0,71.341
210,소선여자중학교,37.0,71.341
211,경신중학교,38.0,73.06099999999999
212,동도중학교,39.0,74.78099999999999
213,강북중학교,40.0,76.50099999999999
214,정화중학교,44.0,83.38099999999999
215,월서중학교,44.0,83.38099999999999
216,조암중학교,45.0,85.101
217,대구동중학교,45.0,85.101
218,월암중학교,31.0,61.021
