A.PROJ_NO,A.BLK_NO,A.LTH,A.BTH,A.HGT,A.NET_WGT,WKA_CD,DTL_ARNO_CD,IN_OUT_AREA,A.IA_NOW_P_STG,A.IA_NOW_FNDT,LOGI_CHK_DESC,LOGI_CHK_DT,LOGI_UPLOAD_DT,후공정 대기 기간,AF_CODE_DESC,IA_AF_STDT,IA_AF_WKA_NM,IA_AF_WK_CENT_DSC,EXP_PRE_OUTFIT_STDT,A.IA_AF_STDT
 SN2598, T310P,15.2,15.5,2.8,66, DA,3, 사내, 도장(Paint),20240206, 선행의장,20240125,20240125, 3일, 올리기(BLOCK LIFT UP),20240226,,,,
 SN2598, T310S,15.2,15.5,2.8,77, OBI,2, 사외, 도장(Paint),20240215,,,, 3일, 올리기(BLOCK LIFT UP),20240226,,,,
 SN2598, T320P,25.2,14.9,3.1,69, HSG2,1, 사외, 도장(Paint),20240214, 조립,20240117,20240116, 4일, 올리기(BLOCK LIFT UP),20240227,,,,
 SN2598, T320S,25.2,15.5,3.1,70, PT6,2, 사내, 도장(Paint),20240219,,,, -27일, 올리기(BLOCK LIFT UP),20240227,,,20240127,
 SN2599, E111P,11.6,3.8,2,27, PS2,27, 사내, 내업의장,20240207,,,, -1일, 대조립(ASSEMBLY),20240222, 53A, 조립부조립3과,,
 SN2599, E111S,11.6,3.8,2,27, PS2,27, 사내, 내업의장,20240207,,,, -1일, 대조립(ASSEMBLY),20240222, 53C, 조립부조립3과,,
 SN2599, E112P,18.2,7.5,3.8,26, HZ05,23, 사내, 내업의장,20240215,,,, -1일, 대조립(ASSEMBLY),20240222, 53A, 조립부조립3과,,
 SN2599, E112S,18.2,7.5,3.8,26, DK2,1, 사외, 내업의장,20240215,,,, -1일, 대조립(ASSEMBLY),20240222, 53C, 조립부조립3과,,
 SN2599, E113P,18.2,8.7,3.8,21,68,9, 사내, 내업의장,20240219,,,, -1일, 대조립(ASSEMBLY),20240222, 53A, 조립부조립3과,,
 SN2599, E113S,18.2,8.7,3.8,22,68,2, 사내, 내업의장,20240220,,,, -1일, 대조립(ASSEMBLY),20240222, 53C, 조립부조립3과,,
 SN2599, E114P,14.6,7.2,4.8,13, PS2,8, 사내, 내업의장,20240205,,,, -1일, 대조립(ASSEMBLY),20240222, 53A, 조립부조립3과,,
 SN2599, E114S,14.6,7.2,4.8,14, PS2,9, 사내, 내업의장,20240205,,,, -1일, 대조립(ASSEMBLY),20240222, 53C, 조립부조립3과,,
 SN2599, E115P,4.3,5.4,4.4,15,68,1, 사내, 내업의장,20240215,,,, -1일, 대조립(ASSEMBLY),20240222, 53A, 조립부조립3과,,
 SN2599, E115S,5,5.9,5.3,6,68,1, 사내, 내업의장,20240214,,,, -1일, 대조립(ASSEMBLY),20240222, 53C, 조립부조립3과,,
 SN2599, E41BP,9.5,5.8,2.6,13, 2B7,3, 사내, 선행중조,20240220,,,, 3일, 중조(MID ASSEMBLY),20240226, FA5, 해)조립부조립3과,,
 SN2599, E41BS,9.5,5.9,2.6,13, 2B7,3, 사내, 선행중조,20240220,,,, 3일, 중조(MID ASSEMBLY),20240226, FA5, 해)조립부조립3과,,
 SN2599, E41CP,9.9,5.8,2.6,15, 2B8,45, 사내, 선행중조,20240219,,,, 3일, 중조(MID ASSEMBLY),20240226, FA5, 해)조립부조립3과,,
 SN2599, E41CS,9.9,5.8,2.6,15, 2B8,35, 사내, 선행중조,20240219,,,, 3일, 중조(MID ASSEMBLY),20240226, FA5, 해)조립부조립3과,,
 SN2599, E51AP,9.3,5.1,2.7,10, PS3,12, 사내, 선행중조,20240215,,,, 0일, 중조(MID ASSEMBLY),20240223, 66A, 조립부조립1과,,
 SN2599, E51AS,9.3,5.1,2.7,10, PS3,12, 사내, 선행중조,20240215,,,, 0일, 중조(MID ASSEMBLY),20240223, 66A, 조립부조립1과,,
 SN2599, E51BP,10.1,5.1,2.7,13, PS4,4, 사내, 선행중조,20240208,,,, 0일, 중조(MID ASSEMBLY),20240223, 66A, 조립부조립1과,,
 SN2599, E51BS,10.1,5.1,2.7,13, PS4,4, 사내, 선행중조,20240208,,,, 0일, 중조(MID ASSEMBLY),20240223, 66A, 조립부조립1과,,
 SN2601, A110P,5.3,4.2,10.5,16, HND,33, 사내, 도장(Paint),20240202,,,, 6일, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2601, A110S,5.3,4.2,10.5,16, HZ05,3, 사내, 도장(Paint),20240205, 도장,20240206,20240206, 0일, 올리기(BLOCK LIFT UP),20240223,,,,
 SN2601, A210P,17.9,21,9,53, PT3,2, 사내, 도장(Paint),20240226,,,, 10일, TURN OVER,20240304,,,,
 SN2601, A210S,17.9,21,9,53, 5K,4, 사내, 도장(Paint),20240228,,,, 10일, TURN OVER,20240304,,,,
 SN2601, A31GC,18,40.9,6,0, 3P,10, 사내, 도장(Paint),20240306,,,, 13일, 올리기(BLOCK LIFT UP),20240307,,,,
 SN2601, B11GP,20.7,23,8.7,0, HNA,8, 사내, PE(PRE-ERECTION),20240226,,,, 6일, 도장(Paint),20240229, H, 선행도장부선행도장2과,,
 SN2601, B11GS,20.7,22.9,8.7,0, HNA,8, 사내, PE(PRE-ERECTION),20240226,,,, 6일, 도장(Paint),20240229, 3K, 선행도장부선행도장1과,,
 SN2601, B120P,20,16,3.2,70, HA,2, 사내, 도장(Paint),20240220, 선행의장,20240119,20240119, 0일, 올리기(BLOCK LIFT UP),20240223,,,,
 SN2601, B120S,20,16,3.2,69, 3R35,2, 사내, 도장(Paint),20240226, 선행의장,20240116,20240116, 4일, 올리기(BLOCK LIFT UP),20240227,,,,
 SN2601, B13GP,21.6,23,8.7,0, 2B8,44, 사내, PE(PRE-ERECTION),20240219,,,,, 도장(Paint),20240227, H, 선행도장부선행도장2과,,
 SN2601, B13GS,21.6,22.9,8.7,0, 2B8,22, 사내, PE(PRE-ERECTION),20240221,,,,, 도장(Paint),20240227, 3K, 선행도장부선행도장1과,,
 SN2601, B14GP,20.5,23,8.7,0, 2B7,33, 사내, PE(PRE-ERECTION),20240221,,,,, 도장(Paint),20240228, H, 선행도장부선행도장2과,,
 SN2601, B14GS,20.5,22.9,8.7,0, 2B7,35, 사내, PE(PRE-ERECTION),20240220,,,,, 도장(Paint),20240226, 3K, 선행도장부선행도장1과,,
 SN2601, D110C,19.7,19.9,3.5,52, HSG2,1, 사외, 대조립(ASSEMBLY),20240214,,,,, 내업의장,20240307, 3J, 선행의장부선행의장1과,20240223,
 SN2601, D131P,15.5,10.2,1.9,38, 2P7,2, 사내, 내업의장,20240207,,,,, 대조립(ASSEMBLY),20240207, A2, [가상]전략생산팀(가공그룹)조립1과,,
 SN2601, D131S,15.5,10,1.9,38, NA,12, 사내, 내업의장,20240207,,,,, 대조립(ASSEMBLY),20240207, A2, [가상]전략생산팀(가공그룹)조립1과,,
 SN2601, D141P,20.1,10.3,1.9,50, BNG9,1, 사외, 내업의장,20240215, 조립,20240202,20240201,, 대조립(ASSEMBLY),20240305, 52B, 판넬조립부대조립과,20240228,
 SN2601, D141S,20,10.3,1.9,50, DK2,1, 사외, 내업의장,20240215, 조립,20240203,20240202,, 대조립(ASSEMBLY),20240305, 52B, 판넬조립부대조립과,20240228,
 SN2601, D151P,15.5,10.1,1.9,35, BNG8,1, 사외, 내업의장,20240214, 조립,20240202,20240201,, 대조립(ASSEMBLY),20240304, 52B, 판넬조립부대조립과,20240205,
