A.PROJ_NO,A.BLK_NO,A.LTH,A.BTH,A.HGT,A.NET_WGT,WKA_CD,DTL_ARNO_CD,IN_OUT_AREA,A.IA_NOW_P_STG,A.IA_NOW_FNDT,LOGI_CHK_DESC,LOGI_CHK_DT,LOGI_UPLOAD_DT,후공정 대기 기간,AF_CODE_DESC,IA_AF_STDT,IA_AF_WKA_NM,IA_AF_WK_CENT_DSC,EXP_PRE_OUTFIT_STDT,A.IA_AF_STDT
 SN2405, D640S,8.5,13,2.1,18, BNG9,1, 사외,,,,,,,,,,,,
 SN2445, S41GS,32,13.5,6.3,0, HNA,6, 사내, 올리기(BLOCK LIFT UP),20230828,,,,,,,,,,
 SN2448, A21GC,17,36.5,8,0, HNA,7, 사내, PE(PRE-ERECTION),20231117,,,, -164일, 올리기(BLOCK LIFT UP),20230912,,,,
 SN2452, B23VC,54.2,51,37.2,0, 2P3,21, 사내, PE(PRE-ERECTION),20240226,,,, 0일, 탑재(ERECTION),20240223, G4, 건조1부건조3과,,
 SN2452, D19GC,15.7,38.3,4.8,0, HNA,1, 사내, 올리기(BLOCK LIFT UP),20240103,,,,,,,,,,
 SN2452, E66GC,27,20.2,5.2,0, HNA,3, 사내, PE(PRE-ERECTION),20240223,,,, 0일, 탑재(ERECTION),20240223, G4, 건조1부건조3과,,
 SN2452, T20GC,31.4,44.3,3.4,0, HNA,2, 사내, PE(PRE-ERECTION),20231219,,,, -66일, 올리기(BLOCK LIFT UP),20231219,,,,
 SN2452, 18.2*23.7*5.4,10,10,4,, HNA,3, 사내,,,,,,,,,,,,
 SN2453, M11UC,12.2,51,34.2,0, SGB,1, 사내, INSULATION,20240131,,,, 17일, 탑재(ERECTION),20240311, G2, 건조1부건조2과,,
 SN2453, Y900C,12.2,8.2,2.8,64, GA,11, 사내, 도장(Paint),20240216, 도장,20240219,20240219, 0일, 탑재(ERECTION),20240223, G2, 건조1부건조2과,,
 SN2454, B200C,17.6,16.4,2.3,62, 3Q,4, 사내, 도장(Paint),20240222,,,, 6일, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2454, B210C,17,16.4,2.3,25, PT7,11, 사내, 도장(Paint),20240221,,,, 5일, 올리기(BLOCK LIFT UP),20240228,,,,
 SN2454, B220C,16.8,11.4,2.5,29, PT7,12, 사내, 도장(Paint),20240227,,,, 5일, 올리기(BLOCK LIFT UP),20240228,,,,
 SN2454, B23GC,16.2,31,12.7,0, 8QB,6, 사내, PE(PRE-ERECTION),20240208,,,, -15일, 올리기(BLOCK LIFT UP),20240208,,,,
 SN2454, C820P,1.4,19.3,1.8,9, BNG8,1, 사외, 올리기(BLOCK LIFT UP),20240220, 도장,20240130,20240130,,,,,,,
 SN2454, C820S,1.4,18.5,1.8,8, BNG8,1, 사외, 올리기(BLOCK LIFT UP),20240220, 도장,20240130,20240130,,,,,,,
 SN2454, F30GC,7.9,9,18.2,0, 3H,7, 사내, 도장(Paint),20240227,,,, 5일, 올리기(BLOCK LIFT UP),20240228,,,,
 SN2454, F31GC,30.5,26.5,7.9,0, 8QB,11, 사내, PE(PRE-ERECTION),20240220,,,, -3일, 올리기(BLOCK LIFT UP),20240220,,,,
 SN2454, F510P,16.4,21,8,41, HZ06,2, 사내, 중국납품운송(IN),20240119,,,, -1일, 올리기(BLOCK LIFT UP),20240222,,,,
 SN2454, F510S,16.4,21,8,41, HZ06,2, 사내, 중국납품운송(IN),20240119,,,, -1일, 올리기(BLOCK LIFT UP),20240222,,,,
 SN2454, F52GC,15.8,29.3,5.3,0, 8QB,3, 사내, PE(PRE-ERECTION),20240223,,,, 0일, 올리기(BLOCK LIFT UP),20240223,,,,
 SN2454, F62GP,13.4,26,13.7,0, 8QB,2, 사내, PE(PRE-ERECTION),20240306,,,, 13일, 올리기(BLOCK LIFT UP),20240307,,,,
 SN2454, F62GS,13.4,26,13.7,0, 8QC,1, 사내, PE(PRE-ERECTION),20240306,,,, 13일, 올리기(BLOCK LIFT UP),20240307,,,,
 SN2454, F63GC,9.7,38.1,10.7,0, 8QC,10, 사내, PE(PRE-ERECTION),20240308,,,, 14일, 올리기(BLOCK LIFT UP),20240308,,,,
 SN2454, F710P,15.1,10.9,2.6,20, BNG9,1, 사외, 중국납품운송(IN),20240119,,,, 0일, TURN OVER,20240223,,,,
 SN2454, F710S,15.1,10.9,2.6,20, BNG9,1, 사외, 중국납품운송(IN),20240119,,,, 0일, TURN OVER,20240223,,,,
 SN2454, F72PS,13.4,26,9.2,0, PS3,10, 사내, TURN OVER,20240220,,,, -24일, PE(PRE-ERECTION),20240130, 8Q, 건조1부건조1과,,
 SN2454, F81GP,15.1,8.4,5.5,0, 3H,3, 사내, 도장(Paint),20240304,,,, 11일, 올리기(BLOCK LIFT UP),20240305,,,,
 SN2454, F81GS,15.1,8.4,5.5,0, HB,8, 사내, 도장(Paint),20240220,,,, 5일, 올리기(BLOCK LIFT UP),20240228,,,,
 SN2454, H200P,18.1,13.7,5.6,66, HA,8, 사내, 도장(Paint),20240226,,,, 6일, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2454, H200S,18.1,13.7,5.6,66, 3K,9, 사내, 도장(Paint),20240229,,,, 6일, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2454, H210P,18.3,15,7.5,44, PT1B,2, 사내, 도장(Paint),20240227,,,, 6일, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2454, H210S,18.3,15,7.5,44, 3R51,5, 사내, 도장(Paint),20240304,,,, 12일, 올리기(BLOCK LIFT UP),20240306,,,,
 SN2454, H220P,16.8,11,4.6,26, PT1A,2, 사내, 도장(Paint),20240228,,,, 6일, TURN OVER,20240229,,,,
 SN2454, H220S,16.8,12.3,4.6,27, 3R42,7, 사내, 도장(Paint),20240304,,,, 12일, TURN OVER,20240306,,,,
 SN2454, M11UC,12.2,51,34.2,0, SGB,1, 사내, 도장(Paint),20240229,,,, -8일, INSULATION,20240215, SGB,,,
 SN2454, S200P,19.7,12.2,9.1,30, PB03,1, 사내, 중국납품운송(IN),20240208,,,, -2일, 도장(Paint),20240221, H, 선행도장부선행도장2과,,
 SN2454, S200S,19.7,12.2,9.1,30, 3R38,1, 사내, 중국납품운송(IN),20240208,,,, -1일, 도장(Paint),20240222, SKP, 건화공업(성포),,
 SN2454, S210P,18.5,14.8,8.4,32, PT1B,6, 사내, 도장(Paint),20240305,,,, 12일, 올리기(BLOCK LIFT UP),20240306,,,,
 SN2454, S210S,18.5,14.8,8.4,32, 3R35,1, 사내, 도장(Paint),20240306,,,, 14일, 올리기(BLOCK LIFT UP),20240308,,,,
 SN2454, S220P,21.3,15.7,7.8,28, GA,9, 사내, 중국납품운송(IN),20240206,,,, 0일, 도장(Paint),20240223, H, 선행도장부선행도장2과,,
 SN2454, S220S,21.3,15.7,7.8,28, 3R38,2, 사내, 중국납품운송(IN),20240214,,,, -1일, 도장(Paint),20240222, 3K, 선행도장부선행도장1과,,
 SN2454, S400P,17.6,19.2,5.2,76, PT7,1, 사내, 도장(Paint),20240305, 선행의장,20240207,20240207, 14일, 올리기(BLOCK LIFT UP),20240308,,,,
 SN2454, S400S,17.6,19.2,5.2,76, HSG2,1, 사외, 내업의장,20240208, 선행의장,20240207,20240207, -1일, 도장(Paint),20240222, 3K, 선행도장부선행도장1과,,
 SN2454, S410P,17,18.5,5.2,58, DA,2, 사내, 내업의장,20240208, 선행의장,20240208,20240214, -1일, 도장(Paint),20240222, H, 선행도장부선행도장2과,,
 SN2454, S410S,17,18.5,5.2,58, 5K,9, 사내, 도장(Paint),20240306, 선행의장,20240208,20240214, 14일, 올리기(BLOCK LIFT UP),20240308,,,,
 SN2454, S420P,18.1,14,8.2,30, KA,2, 사내, 중국납품운송(IN),20240208,,,, 3일, 도장(Paint),20240226, H, 선행도장부선행도장2과,,
 SN2454, S420S,18.1,14,8.2,30, 3L,1, 사내, 중국납품운송(IN),20240208,,,, -1일, 도장(Paint),20240222, SKP, 건화공업(성포),,
 SN2454, S430P,18.3,18.8,8,35, RD38,3, 사내, 도장(Paint),20240227,,,, 11일, 올리기(BLOCK LIFT UP),20240305,,,,
 SN2454, S430S,18.3,18.8,8,35, 3P,5, 사내, 중국납품운송(IN),20240202,,,, -2일, 도장(Paint),20240221, 3K, 선행도장부선행도장1과,,
 SN2454, S620P,17.1,13.3,5.4,30, HB,3, 사내, 내업의장,20240201,,,, -29일, 도장(Paint),20240226, H, 선행도장부선행도장2과,20240125,
 SN2454, S620S,17.1,13.3,5.4,30, 3K,3, 사내, 도장(Paint),20240229,,,, 14일, 올리기(BLOCK LIFT UP),20240308,,,,
 SN2454, S630P,17.4,10.6,7.9,19, OB,16, 사내, 중국납품운송(IN),20240206,,,, 3일, 도장(Paint),20240226, H, 선행도장부선행도장2과,,
 SN2454, S630S,17.4,10.6,7.9,19, 3P,4, 사내, TURN OVER,20240207,,,, -2일, 도장(Paint),20240221, 3K, 선행도장부선행도장1과,,
 SN2454, S830P,16.2,8,5.8,21, KA,3, 사내, 중국납품운송(IN),20240202,,,, 4일, 도장(Paint),20240227, H, 선행도장부선행도장2과,,
 SN2454, S830S,16.2,8,5.8,21, HZ05,13, 사내, 중국납품운송(IN),20240202,,,, -1일, 도장(Paint),20240222, SKP, 건화공업(성포),,
 SN2454, T23GC,31.4,44.7,3.1,0, 2A7,22, 사내, PE(PRE-ERECTION),20240226,,,, 13일, 올리기(BLOCK LIFT UP),20240307,,,,
 SN2454, W820P,5.4,18.9,2.3,18, 2B9,1, 사내, 도장(Paint),20240226, 선행의장,20240110,20240110, 3일, 올리기(BLOCK LIFT UP),20240226,,,,
 SN2454, W820S,5.4,18.9,2.3,18, 2B9,1, 사내, 도장(Paint),20240226, 선행의장,20240110,20240110, 3일, 올리기(BLOCK LIFT UP),20240226,,,,
 SN2454, W830C,5.2,14.1,2.8,12, BNG9,1, 사외, 내업의장,20240206, 선행의장,20240205,20240205, 3일, 도장(Paint),20240226, 3K, 선행도장부선행도장1과,,
 SN2455, B11GC,18.3,42.2,5,0, 8QC,1, 사내, 올리기(BLOCK LIFT UP),20240123,,,,,,,,,,
 SN2455, B18GP,17.1,25,5,0, 2P1,23, 사내, 도장(Paint),20240207,,,, -2일, 올리기(BLOCK LIFT UP),20240221,,,,
 SN2455, B18GS,17.1,25,5,0, 2P1,13, 사내, 도장(Paint),20240216, 도장,20240216,20240216, -2일, 올리기(BLOCK LIFT UP),20240221,,,,
 SN2455, B18VC,36.8,51,33.6,0, 2P2,1, 사내, PE(PRE-ERECTION),20240329,,,, 35일, 탑재(ERECTION),20240329, G4, 건조1부건조2과,,
 SN2455, B19GS,19.7,25.3,7.6,0, HSG2,1, 사외, 도장(Paint),20240206, 도장,20240214,20240214, -2일, 올리기(BLOCK LIFT UP),20240221,,,,
 SN2455, B200C,17.6,16.4,2.3,62, 3Q,2, 사내, 도장(Paint),20240227, 선행의장,20240104,20240208, 14일, 올리기(BLOCK LIFT UP),20240308,,,,
 SN2455, B210C,17,16.4,2.3,25, HZ02,5, 사내, 올리기(BLOCK LIFT UP),20240207,,,,,,,,,,
 SN2455, B22GC,16.7,25.8,4.9,0, HSG2,1, 사외, 중국납품운송(IN),20240214,,,, 5일, 올리기(BLOCK LIFT UP),20240228,,,,
 SN2455, C820P,1.4,19.3,1.8,9, BNG8,1, 사외, 도장(Paint),20240202,,,, 10일, 올리기(BLOCK LIFT UP),20240304,,,,
 SN2455, C820S,1.4,18.5,1.8,8, BNG8,1, 사외, 도장(Paint),20240202,,,, 10일, 올리기(BLOCK LIFT UP),20240304,,,,
 SN2455, D29GC,15.7,46.1,4.4,0, 2P5,13, 사내, PE(PRE-ERECTION),20240305,,,, 11일, 올리기(BLOCK LIFT UP),20240305,,,,
 SN2455, D39GC,15.7,39.8,6.4,0, 2P5,13, 사내, PE(PRE-ERECTION),20240307,,,, 17일, 올리기(BLOCK LIFT UP),20240311,,,,
 SN2455, E11VC,48.3,51,33.6,0, 8QC,3, 사내, PE(PRE-ERECTION),20240319,,,, 26일, 탑재(ERECTION),20240320, G4, 건조1부건조2과,,
 SN2455, E51GP,29.4,23.5,10.4,0, 8QA,7, 사내, PE(PRE-ERECTION),20240226,,,, 3일, 올리기(BLOCK LIFT UP),20240226,,,,
 SN2455, E51GS,29.4,22.5,10.4,0, 8QA,8, 사내, PE(PRE-ERECTION),20240223,,,, 0일, 올리기(BLOCK LIFT UP),20240223,,,,
 SN2455, E53GP,30.8,18.5,7,0, PT6,11, 사내, 도장(Paint),20240223,,,, 4일, 올리기(BLOCK LIFT UP),20240227,,,,
 SN2455, E53GS,30.8,18.5,7,0, KB,3, 사내, 도장(Paint),20240219,,,, 4일, 올리기(BLOCK LIFT UP),20240227,,,,
 SN2455, E650C,12.5,15.8,5.2,47, HZ05,25, 사내, 도장(Paint),20240205,,,,, TURN OVER,20240227,,,,
 SN2455, E660C,17.3,16.7,1.9,55, 2C5,3, 사내, 선행의장(OUTFITTING),20240304,,,,, 도장(Paint),20240308, 3K, 선행도장부선행도장1과,,
 SN2455, E670C,10.4,20.2,5.2,64, 3I,19, 사내, 선행의장(OUTFITTING),20240222,,,,, 도장(Paint),20240306, 3K, 선행도장부선행도장1과,,
 SN2455, E710P,12.4,21.7,6.6,84, 2C9,2, 사내, 선행의장(OUTFITTING),20240304,,,,, 도장(Paint),20240307, H, 선행도장부선행도장2과,,
 SN2455, E710S,12.4,23.1,6.6,88, 2C9,2, 사내, 선행의장(OUTFITTING),20240229,,,,, 도장(Paint),20240307, FPS, 선행도장부선행도장3과,,
 SN2455, F220C,12.8,7,5.2,8, 3R38,4, 사내, 도장(Paint),20240207, 도장,20240215,20240215,, TURN OVER,20240222,,,,
 SN2455, F30GC,9,18.2,7.9,0, 3R43,10, 사내, 도장(Paint),20240226,,,,, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2455, F31GC,30.5,26.5,7.9,0, HNB,9, 사내, PE(PRE-ERECTION),20240223,,,,, 올리기(BLOCK LIFT UP),20240226,,,,
 SN2455, F510P,16.4,21,8,41, HZ05,1, 사내, 중국납품운송(IN),20240219,,,,, 올리기(BLOCK LIFT UP),20240228,,,,
 SN2455, F510S,16.4,21,8,41, HZ05,1, 사내, 중국납품운송(IN),20240219,,,,, 올리기(BLOCK LIFT UP),20240228,,,,
 SN2455, F52GC,15.8,29.3,5.3,0, HNB,9, 사내, PE(PRE-ERECTION),20240227,,,,, 올리기(BLOCK LIFT UP),20240228,,,,
 SN2455, F62GC,6.6,36.2,2.7,0, HNB,6, 사내, PE(PRE-ERECTION),20240305,,,,, 올리기(BLOCK LIFT UP),20240305, HN, 신한내건조부건조1과,,
 SN2455, F630C,9.7,18.6,2.7,13, HNE,1, 사내, TURN OVER,20240220, 도장,20240131,20240131,, PE(PRE-ERECTION),20240220, HN, 신한내건조부건조1과,,
 SN2455, F710P,15.1,10.9,2.6,20, BNG9,1, 사외, 중국납품운송(IN),20240119,,,,, TURN OVER,20240229,,,,
 SN2455, F710S,15.1,10.9,2.6,20, BNG9,1, 사외, 중국납품운송(IN),20240119,,,,, TURN OVER,20240229,,,,
 SN2455, F72PP,13.4,26,9.2,0, HB,6, 사내, 도장(Paint),20240222,,,,, TURN OVER,20240229,,,,
 SN2455, F72PS,13.4,26,9.2,0, 3Q,1, 사내, 도장(Paint),20240226,,,,, TURN OVER,20240229,,,,
 SN2455, F73PC,9.7,37,6.6,0, DK1,1, 사외, 도장(Paint),20240131, 도장,20240201,20240201,, TURN OVER,20240222,,,,
 SN2455, F81GP,15.1,8.4,5.5,0, HA,10, 사내, 도장(Paint),20240220,,,,, 올리기(BLOCK LIFT UP),20240306,,,,
 SN2455, H200P,18.1,13.7,5.6,66, KA,1, 사내, 중국납품운송(IN),20240214,,,,, 도장(Paint),20240223, H, 선행도장부선행도장2과,,
 SN2455, H200S,18.1,13.7,5.6,66, 5P,2, 사내, 중국납품운송(IN),20240214,,,,, 도장(Paint),20240221, FPS, 선행도장부선행도장3과,,
 SN2455, H210P,18.3,15,7.5,44, JCH,1, 사외, 중국납품운송(IN),20240125,,,,, 올리기(BLOCK LIFT UP),20240227,,,,
 SN2455, H210S,18.3,15,7.5,44, JCH,1, 사외, 중국납품운송(IN),20240125,,,,, 올리기(BLOCK LIFT UP),20240227,,,,
 SN2455, M11UC,12.2,51,34.2,0, SGB,1, 사내, 도장(Paint),20240322,,,,, INSULATION,20240305, SGB,,,
 SN2455, M710P,9.1,15,3.3,63, SGO,1, 사내, 올리기(BLOCK LIFT UP),20240123,,,,,,,,,,
 SN2455, M710S,9.1,14.9,3.3,69, SGO,1, 사내, 올리기(BLOCK LIFT UP),20240123,,,,,,,,,,
 SN2455, M900P,5.8,7.8,5.8,4, HZ02,11, 사내, TURN OVER,20240216,,,,, PE(PRE-ERECTION),20231201, SGB, 선실부선실2과,,
 SN2455, M900S,5.8,7.8,5.8,4, HZ02,11, 사내, TURN OVER,20240216,,,,, PE(PRE-ERECTION),20231201, SGB, 선실부선실2과,,
 SN2455, M910P,11.8,15.2,3.2,32, SGO,12, 사내, 올리기(BLOCK LIFT UP),20240131,,,,,,,,,,
 SN2455, M910S,11.8,15.4,3.2,34, SGO,13, 사내, 올리기(BLOCK LIFT UP),20240131,,,,,,,,,,
 SN2455, M920P,4.9,11.1,3.2,17, 57C,3, 사내, 올리기(BLOCK LIFT UP),20240201,,,,,,,,,,
 SN2455, M920S,4.9,11.1,3.2,17, 57C,3, 사내, 올리기(BLOCK LIFT UP),20240201,,,,,,,,,,
 SN2455, M930P,2.8,2,2,2, 57C,3, 사내, 올리기(BLOCK LIFT UP),20240205,,,,,,,,,,
 SN2455, M940S,2.8,3.4,2.4,3, 57C,3, 사내, 올리기(BLOCK LIFT UP),20240205,,,,,,,,,,
 SN2455, S120P,20,23.7,3.4,60, HNE,28, 사내, 올리기(BLOCK LIFT UP),20240220, 선행의장,20240115,20240118,,,,,,,
 SN2455, S120S,20,23.7,3.4,60, HNE,18, 사내, 올리기(BLOCK LIFT UP),20240220,,,,,,,,,20240109,
 SN2455, S180P,17.3,28.9,5.4,39, HSG2,1, 사외, 도장(Paint),20240208, 선행의장,20240118,20240125,, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2455, S180S,17.3,28.9,5.4,39, PS3,9, 사내, 도장(Paint),20240208, 조립,20240112,20240111,, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2455, S190P,19.7,15.8,6.7,51, HNC,8, 사내, 중국납품운송(IN),20240219,,,,, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2455, S190S,19.7,15.8,6.7,52, HNC,9, 사내, 중국납품운송(IN),20240219,,,,, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2455, S200P,19.7,12.2,9.1,30, HA,11, 사내, 중국납품운송(IN),20240206,,,,, 도장(Paint),20240226, H, 선행도장부선행도장2과,,
 SN2455, S200S,19.7,12.2,9.1,30, HZ07,1, 사내, 중국납품운송(IN),20240206,,,,, 도장(Paint),20240222, SKP, 건화공업(성포),,
 SN2455, S210P,18.5,14.8,8.4,32, JCH,1, 사외, 중국납품운송(IN),20240129,,,,, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2455, S210S,18.5,14.8,8.4,32, JCH,1, 사외, 중국납품운송(IN),20240129,,,,, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2455, S390P,19.7,10.1,5.9,48, PB04,1, 사내, 중국납품운송(IN),20240206,,,,, 도장(Paint),20240221, H, 선행도장부선행도장2과,,
 SN2455, S390S,19.7,10.1,5.9,48, 3P,14, 사내, 도장(Paint),20240307,,,,, 올리기(BLOCK LIFT UP),20240308,,,,
 SN2455, S400P,17.6,19.2,5.2,76, DK1,1, 사외, 내업의장,20240207, 조립,20240129,20240126,, 도장(Paint),20240223, H, 선행도장부선행도장2과,20240130,
 SN2455, S400S,17.6,19.2,5.2,76, 3K,11, 사내, 도장(Paint),20240307, 선행의장,20240201,20240201,, 올리기(BLOCK LIFT UP),20240319,,,,
 SN2455, S430P,18.3,18.8,8,35, HNE,19, 사내, 중국납품운송(IN),20240124,,,,, 올리기(BLOCK LIFT UP),20240221,,,,
 SN2455, S430S,18.3,18.8,8,35, HNE,9, 사내, 중국납품운송(IN),20240124,,,,, 올리기(BLOCK LIFT UP),20240221,,,,
 SN2455, S630P,17.4,10.6,7.9,19, HZ02,15, 사내, 중국납품운송(IN),20240124,,,,, 올리기(BLOCK LIFT UP),20240223,,,,
 SN2455, S630S,17.4,10.6,7.9,19, HZ02,5, 사내, 중국납품운송(IN),20240124,,,,, 올리기(BLOCK LIFT UP),20240223,,,,
 SN2455, S830P,16.2,8,5.8,23, HZ06,1, 사내, 중국납품운송(IN),20240214,,,,, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2455, S830S,16.2,8,5.8,23, HZ02,11, 사내, 중국납품운송(IN),20240214,,,,, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2455, T20GC,31.4,44.3,3.4,0, 2P2,21, 사내, PE(PRE-ERECTION),20240216,,,,, 올리기(BLOCK LIFT UP),20240223,,,,
 SN2455, T260C,7.9,9.1,3,16, HNC,1, 사내, 올리기(BLOCK LIFT UP),20240219,,,,,,,,,,
 SN2455, W820P,5.4,18.9,2.3,18, HZ06,1, 사내, 도장(Paint),20240126, 도장,20240129,20240129,, 올리기(BLOCK LIFT UP),20240304,,,,
 SN2455, W820S,5.4,18.9,2.3,18, HZ06,1, 사내, 도장(Paint),20240126, 도장,20240129,20240129,, 올리기(BLOCK LIFT UP),20240304,,,,
 SN2455, W830C,5.2,14.1,2.8,12, 3L,2, 사내, 내업의장,20240215, 선행의장,20240215,20240219,, 도장(Paint),20240222, 3K, 선행도장부선행도장1과,,
 SN2455, Y900C,12.2,8.2,2.8,64, HNC,15, 사내, 대조립(ASSEMBLY),20240117,,,,, 도장(Paint),20240326, H, 선행도장부선행도장2과,,
 SN2456, A121P,14.9,8.7,4.6,23, BNG8,1, 사외, 내업의장,20240202,,,,, 대조립(ASSEMBLY),20240223, FA6, 해)조립부조립3과,,
 SN2456, A121S,14.9,8.7,4.6,23, BNG8,1, 사외, 내업의장,20240202,,,,, 대조립(ASSEMBLY),20240223, FA6, 해)조립부조립3과,,
 SN2456, B110C,18.2,21.4,2.2,48, HNC,5, 사내, 중국납품운송(IN),20240219,,,,, 올리기(BLOCK LIFT UP),20240314,,,,
 SN2456, B120P,20,15.8,2.2,50, DK1,1, 사외, 내업의장,20240207,,,,, 올리기(BLOCK LIFT UP),20240226,,,20240206,
 SN2456, B181P,17.2,18.4,2.3,66, 3J,9, 사내, 내업의장,20240219, 조립,20240216,20240215,, 대조립(ASSEMBLY),20240228, 52A, 판넬조립부대조립과,20240219,
 SN2456, B181S,17.2,18.3,2.3,58, 3J,6, 사내, 내업의장,20240219, 조립,20240215,20240215,, 대조립(ASSEMBLY),20240228, 52B, 판넬조립부대조립과,20240217,
 SN2456, B190P,19.7,15.9,2.4,3, 3R34,4, 사내, 내업의장,20240223, 조립,20240207,20240206,, 올리기(BLOCK LIFT UP),20240307,,,20240208,
 SN2456, B190S,19.7,15.9,2.4,1, 3R34,3, 사내, 내업의장,20240227, 조립,20240206,20240206,, 올리기(BLOCK LIFT UP),20240307,,,20240208,
 SN2456, D190P,15.8,22.8,5.1,94, DK1,1, 사외, 내업의장,20240305,,,,, 도장(Paint),20240320, FPS, 선행도장부선행도장3과,20240304,
 SN2456, D190S,15.8,16,5.1,64, 3I,21, 사내, 내업의장,20240305,,,,, 도장(Paint),20240320, FPS, 선행도장부선행도장3과,20240304,
 SN2456, D290P,16,24.1,4.3,59, DK1,1, 사외, 내업의장,20240229,,,,, 도장(Paint),20240318, H, 선행도장부선행도장2과,,
 SN2456, D390P,16,20.2,6.6,72, 2B7,46, 사내, 대조립(ASSEMBLY),20240215,,,,, 내업의장,20240222, FC4, 해)선행의장부선행의장3과,,
 SN2456, D390S,16,19.2,6.6,65, 2B7,6, 사내, 내업의장,20240315,,,,, 도장(Paint),20240322, FPS, 선행도장부선행도장3과,,
 SN2456, E11GC,16,41.2,7.6,0, 2P5,, 사내, PE(PRE-ERECTION),20240308,,,,, UNIT 의장,20240312, Z, 구매공통작업장,,
 SN2456, E130C,16,15.9,5.8,9, 3G,1, 사내, 도장(Paint),20240222,,,,, UNIT 의장,20240226, Z, 구매공통작업장,,
 SN2456, E230P,16,11.4,4.3,21, JB,5, 사내, 선행의장(OUTFITTING),20240226,,,,, 도장(Paint),20240229, H, 선행도장부선행도장2과,,
 SN2456, E230S,16,10.3,4.3,14, TO1D,1, 사내, 선행의장(OUTFITTING),20240226,,,,, 도장(Paint),20240229, 3K, 선행도장부선행도장1과,,
 SN2456, E240C,16.6,16.4,5.2,26, 2B8,16, 사내, 선행의장(OUTFITTING),20240227,,,,, 도장(Paint),20240304, 3K, 선행도장부선행도장1과,,
 SN2456, E31PS,30.2,15.5,5.5,0, 2P3,1, 사내, PE(PRE-ERECTION),20240229,,,,, 도장(Paint),20240306, FPS, 선행도장부선행도장3과,,
 SN2456, E340P,15.4,12,6.3,18, UC,11, 사내, 선행의장(OUTFITTING),20240223,,,,, 도장(Paint),20240228, FPS, 선행도장부선행도장3과,,
 SN2456, E340S,15.4,12,6.3,18, UA,9, 사내, 선행의장(OUTFITTING),20240223,,,,, 도장(Paint),20240227, 3K, 선행도장부선행도장1과,,
 SN2456, E350C,13.4,19.1,2.9,53,68,10, 사내, 선행의장(OUTFITTING),20240219,,,,, 도장(Paint),20240227, 3K, 선행도장부선행도장1과,,
 SN2456, E370P,16,11.2,5.2,27, 2P1,22, 사내, 선행의장(OUTFITTING),20240220,,,,, 도장(Paint),20240228, H, 선행도장부선행도장2과,,
 SN2456, E370S,16,9.7,5.2,15, 2C4,2, 사내, 선행의장(OUTFITTING),20240223,,,,, 도장(Paint),20240228, 3K, 선행도장부선행도장1과,,
 SN2456, E380C,2.8,9.2,2.6,8, 2C5,2, 사내, 선행의장(OUTFITTING),20240220,,,,, 도장(Paint),20240304, H, 선행도장부선행도장2과,,
 SN2456, E410S,14.4,16.1,5.2,36, DK1RD,1, 사외, 선행의장(OUTFITTING),20240205,,,, 6일, 올리기(BLOCK LIFT UP),20240229,,,,
 SN2456, E450C,13.1,19.2,5.2,44, 3I,17, 사내, 선행의장(OUTFITTING),20240227,,,, 11일, 도장(Paint),20240305, H, 선행도장부선행도장2과,,
 SN2456, E510P,13.9,23.6,5.2,54, 3I,16, 사내, 선행의장(OUTFITTING),20240227,,,, 12일, 도장(Paint),20240306, H, 선행도장부선행도장2과,,
 SN2456, E610P,12.9,15.2,6,38, 2B7,4, 사내, 대조립(ASSEMBLY),20240214,,,, -1일, 선행의장(OUTFITTING),20240222, FC4, 해)선행의장부선행의장3과,,
 SN2456, E610S,12.9,15.8,6,42, 2B7,4, 사내, 대조립(ASSEMBLY),20240215,,,, 0일, 선행의장(OUTFITTING),20240223, FC4, 해)선행의장부선행의장3과,,
 SN2456, E651C,15.5,5.2,2.1,19, BNG8,1, 사외, 내업의장,20240206,,,, 4일, 대조립(ASSEMBLY),20240227, 55A, 조립부조립1과,,
 SN2456, F421P,8.5,4.3,3.7,7, UF,14, 사내, 중조(MID ASSEMBLY),20240202,,,, -23일, 내업의장,20240131, UA, 전략생산팀(의장그룹)의장3과,,
 SN2456, F421S,8.5,4.3,4.4,7, NA,3, 사내, 중조(MID ASSEMBLY),20240206,,,, -17일, 내업의장,20240206, UA, 전략생산팀(의장그룹)의장3과,,
 SN2456, F422P,7.7,2.7,2.2,5, UF,14, 사내, 중조(MID ASSEMBLY),20240205,,,, -22일, 내업의장,20240201, UA, 전략생산팀(의장그룹)의장3과,,
