출생년도,예측 교원 수,CRU,학급 수
2023,540.8629999999999,9921.0,381.0
2024,508.57099999999997,9317.0,358.0
2025,484.703,8886.0,341.0
2026,445.391,8152.0,313.0
2027,421.52299999999997,7698.0,296.0
2028,390.635,7138.0,274.0
2029,366.767,6701.0,257.0
2030,352.727,6433.0,247.0
2031,338.687,6182.0,237.0
2032,306.395,5587.0,214.0
2033,275.507,5001.0,192.0
2034,243.21499999999997,4401.0,169.0
2035,226.367,4082.0,157.0
