출생년도,예측 교원 수,CRU,학급 수
2023,441.179,9921.0,310.0
2024,414.503,9317.0,291.0
2025,394.847,8886.0,277.0
2026,362.555,8152.0,254.0
2027,342.899,7698.0,240.0
2028,319.031,7138.0,223.0
2029,299.375,6701.0,209.0
2030,288.14300000000003,6433.0,201.0
2031,276.911,6182.0,193.0
2032,250.23499999999999,5587.0,174.0
2033,224.963,5001.0,156.0
2034,198.28699999999998,4401.0,137.0
2035,184.24699999999999,4082.0,127.0
