출생년도,예측 교원 수,CRU,학급 수
2023,321.839,9921.0,225.0
2024,302.183,9317.0,211.0
2025,288.14300000000003,8886.0,201.0
2026,265.67900000000003,8152.0,185.0
2027,250.23499999999999,7698.0,174.0
2028,233.38699999999997,7138.0,162.0
2029,219.34699999999998,6701.0,152.0
2030,210.92299999999997,6433.0,146.0
2031,202.499,6182.0,140.0
2032,182.843,5587.0,126.0
2033,164.59099999999998,5001.0,113.0
2034,146.33899999999997,4401.0,100.0
2035,135.107,4082.0,92.0
