출생년도,예측 교원 수,CRU,학급 수
2023,382.211,9921.0,268.0
2024,358.343,9317.0,251.0
2025,342.899,8886.0,240.0
2026,314.819,8152.0,220.0
2027,297.971,7698.0,208.0
2028,275.507,7138.0,192.0
2029,260.063,6701.0,181.0
2030,248.831,6433.0,173.0
2031,240.40699999999998,6182.0,167.0
2032,217.94299999999998,5587.0,151.0
2033,195.47899999999998,5001.0,135.0
2034,171.611,4401.0,118.0
2035,160.379,4082.0,110.0
