출생년도,예측 교원 수,CRU,학급 수
2023,668.627,9921.0,472.0
2024,627.911,9317.0,443.0
2025,599.8309999999999,8886.0,423.0
2026,550.6909999999999,8152.0,388.0
2027,519.8029999999999,7698.0,366.0
2028,481.895,7138.0,339.0
2029,453.815,6701.0,319.0
2030,435.563,6433.0,306.0
2031,418.715,6182.0,294.0
2032,379.403,5587.0,266.0
2033,340.091,5001.0,238.0
2034,299.375,4401.0,209.0
2035,278.315,4082.0,194.0
