출생년도,예측 교원 수,CRU,학급 수
2023,521.2069999999999,9921.0,367.0
2024,490.319,9317.0,345.0
2025,467.855,8886.0,329.0
2026,428.543,8152.0,301.0
2027,406.079,7698.0,285.0
2028,376.59499999999997,7138.0,264.0
2029,354.13100000000003,6701.0,248.0
2030,340.091,6433.0,238.0
2031,326.051,6182.0,228.0
2032,295.163,5587.0,206.0
2033,265.67900000000003,5001.0,185.0
2034,234.79099999999997,4401.0,163.0
2035,217.94299999999998,4082.0,151.0
