출생년도,예측 교원 수,CRU,학급 수
2023,392.039,9921.0,275.0
2024,368.171,9317.0,258.0
2025,351.323,8886.0,246.0
2026,323.243,8152.0,226.0
2027,304.991,7698.0,213.0
2028,283.931,7138.0,198.0
2029,267.083,6701.0,186.0
2030,255.85099999999997,6433.0,178.0
2031,246.02299999999997,6182.0,171.0
2032,223.55899999999997,5587.0,155.0
2033,199.69099999999997,5001.0,138.0
2034,177.22699999999998,4401.0,122.0
2035,164.59099999999998,4082.0,113.0
