출생년도,예측 교원 수,CRU,학급 수
2023,502.955,9921.0,354.0
2024,472.067,9317.0,332.0
2025,451.007,8886.0,317.0
2026,414.503,8152.0,291.0
2027,390.635,7698.0,274.0
2028,362.555,7138.0,254.0
2029,341.495,6701.0,239.0
2030,327.455,6433.0,229.0
2031,314.819,6182.0,220.0
2032,285.335,5587.0,199.0
2033,255.85099999999997,5001.0,178.0
2034,226.367,4401.0,157.0
2035,209.51899999999998,4082.0,145.0
