출생년도,예측 교원 수,CRU,학급 수
2023,637.7389999999999,9921.0,450.0
2024,599.8309999999999,9317.0,423.0
2025,571.751,8886.0,403.0
2026,525.419,8152.0,370.0
2027,495.935,7698.0,349.0
2028,460.835,7138.0,324.0
2029,432.755,6701.0,304.0
2030,415.907,6433.0,292.0
2031,400.463,6182.0,281.0
2032,361.151,5587.0,253.0
2033,324.647,5001.0,227.0
2034,286.739,4401.0,200.0
2035,265.67900000000003,4082.0,185.0
