출생년도,예측 교원 수,CRU,학급 수
2023,289.547,9921.0,202.0
2024,272.699,9317.0,190.0
2025,260.063,8886.0,181.0
2026,239.003,8152.0,166.0
2027,226.367,7698.0,157.0
2028,209.51899999999998,7138.0,145.0
2029,196.88299999999998,6701.0,136.0
2030,189.86299999999997,6433.0,131.0
2031,182.843,6182.0,126.0
2032,165.99499999999998,5587.0,114.0
2033,149.147,5001.0,102.0
2034,130.89499999999998,4401.0,89.0
2035,122.471,4082.0,83.0
