출생년도,예측 교원 수,CRU,학급 수
2023,403.271,9921.0,283.0
2024,379.403,9317.0,266.0
2025,361.151,8886.0,253.0
2026,331.667,8152.0,232.0
2027,313.415,7698.0,219.0
2028,290.951,7138.0,203.0
2029,274.103,6701.0,191.0
2030,262.871,6433.0,183.0
2031,253.04299999999998,6182.0,176.0
2032,229.17499999999998,5587.0,159.0
2033,205.307,5001.0,142.0
2034,181.439,4401.0,125.0
2035,168.80299999999997,4082.0,116.0
