출생년도,예측 교원 수,CRU,학급 수
2023,702.323,9921.0,496.0
2024,658.799,9317.0,465.0
2025,629.3149999999999,8886.0,444.0
2026,577.367,8152.0,407.0
2027,545.0749999999999,7698.0,384.0
2028,505.763,7138.0,356.0
2029,476.279,6701.0,335.0
2030,456.623,6433.0,321.0
2031,439.775,6182.0,309.0
2032,397.655,5587.0,279.0
2033,356.939,5001.0,250.0
2034,314.819,4401.0,220.0
2035,292.355,4082.0,204.0
