출생년도,예측 교원 수,CRU,학급 수
2023,314.819,9921.0,220.0
2024,296.567,9317.0,207.0
2025,282.527,8886.0,197.0
2026,260.063,8152.0,181.0
2027,246.02299999999997,7698.0,171.0
2028,227.771,7138.0,158.0
2029,213.73099999999997,6701.0,148.0
2030,205.307,6433.0,142.0
2031,198.28699999999998,6182.0,137.0
2032,180.035,5587.0,124.0
2033,161.783,5001.0,111.0
2034,142.12699999999998,4401.0,97.0
2035,132.29899999999998,4082.0,90.0
