출생년도,예측 교원 수,CRU,학급 수
2023,427.139,9921.0,300.0
2024,401.867,9317.0,282.0
2025,383.615,8886.0,269.0
2026,352.727,8152.0,247.0
2027,333.071,7698.0,233.0
2028,309.20300000000003,7138.0,216.0
2029,290.951,6701.0,203.0
2030,278.315,6433.0,194.0
2031,268.487,6182.0,187.0
2032,243.21499999999997,5587.0,169.0
2033,217.94299999999998,5001.0,151.0
2034,192.671,4401.0,133.0
2035,178.63099999999997,4082.0,123.0
